id,entry,patent_id,name,location,description,date
1,"224885. Bachmann, Walter, Langengrobsdorf b/Gera. Brutapparat. 10/1 09. — A 1783.",224885,"Bachmann, Walter",Langengrobsdorf b/Gera,Brutapparat.,10/1 09
2,"225018. Erlwein, Dr Georg, Berlin, Fasanenstr. 70, u. Ernst Marquardt, Carow b/Berlin. Vorrichtung zur Belüftung von Wasser in Fischbehältern. 28/2 08. — A 1815.",225018,"Erlwein, Dr Georg; Ernst Marquardt","Berlin, Fasanenstr. 70; Carow b/Berlin",Vorrichtung zur Belüftung von Wasser in Fischbehältern.,28/2 08
3,"225042. Mathieu, Alcide, Apt, Frankr.; Vertr.: E. Hoffmann, Pat.-Anw., Berlin S.W. 68. Angelköder mit drehbar befestigtem, beim Anbeißen des Fisches selbsttätig vorschnellendem Haken. 31/10 08. — A 1815.",225042,"Mathieu, Alcide","Apt, Frankr.","Angelköder mit drehbar befestigtem, beim Anbeißen des Fisches selbsttätig vorschnellendem Haken.",31/10 08
4,"225198. Ortmann, Christian, Schependorf b/Baumgarten i/Meckl. Verfahren und Einrichtung zur Erhaltung des Stickstoffes in Harn oder Jauche. 2/5 08. — A 1815.",225198,"Ortmann, Christian",Schependorf b/Baumgarten i/Meckl.,Verfahren und Einrichtung zur Erhaltung des Stickstoffes in Harn oder Jauche.,2/5 08
5,"225293. Klostermann, F., & Co., Berlin. Zusammenlegbarer Vogelkäfig mit einknickbaren Tragstützen. 19/2 09. — A 1863.",225293,"Klostermann, F., & Co.",Berlin,Zusammenlegbarer Vogelkäfig mit einknickbaren Tragstützen.,19/2 09
6,"226553. Schreier, Josef, Bauerwitz, O/Schl. Kupplungsvorrichtung. 16/10 09. — A 2086.",226553,"Schreier, Josef","Bauerwitz, O/Schl.",Kupplungsvorrichtung.,16/10 09
7,"227414. Osmers, Georg Hermann Hinrich, u. Friedrich Wilhelm Lohse, Quickborn, Holst. Selbsttätige Schließvorrichtung für Geflügelställe. 23/10 08. — A 2289.",227414,"Osmers, Georg Hermann Hinrich; Friedrich Wilhelm Lohse","Quickborn, Holst.",Selbsttätige Schließvorrichtung für Geflügelställe.,23/10 08
8,"228767. Pries, Wilhelm, Stietenstr. 8, u. Hermann Tietz, Hafenstr. 20c, Lübeck. Geflügelkäfig mit abnehmbarem Deckel. 12/10 09.",228767,"Pries, Wilhelm; Hermann Tietz","Stietenstr. 8; Hafenstr. 20c, Lübeck",Geflügelkäfig mit abnehmbarem Deckel.,12/10 09
9,"228906. Gehlhaar, Hugo, Oschatz i/Sa. Viehtränke. 2/3 09.",228906,"Gehlhaar, Hugo",Oschatz i/Sa.,Viehtränke.,2/3 09
10,"229269. Huth, August, Coswig i/Anh. Hundedressurapparat zur Verhütung der Vergiftung der Hunde durch hingeworfenes Futter. 10/10 09.",229269,"Huth, August",Coswig i/Anh.,Hundedressurapparat zur Verhütung der Vergiftung der Hunde durch hingeworfenes Futter.,10/10 09
11,"229583. Wiemann, Eduard, Fahrstedt b/Marne, u. Hermann Lange, Marne. Fahrbare Viehwaschanlage. 5/12 09.",229583,"Wiemann, Eduard; Hermann Lange",Fahrstedt b/Marne; Marne,Fahrbare Viehwaschanlage.,5/12 09
12,"229652. Bruhn, Dr Christian Ad., Reinbek i/Holstein. Füttervorrichtung für Vögel mit über der Futterentnahmestelle angeordnetem Deckgitter. 16/2 09.",229652,"Bruhn, Dr Christian Ad.",Reinbek i/Holstein,Füttervorrichtung für Vögel mit über der Futterentnahmestelle angeordnetem Deckgitter.,16/2 09
