id,entry,patent_id,name,location,description,date
1,Neuerungen in der Herstellung der sog. Rahmen für Schuhe und Stiefel. 28. Januar 1882. — A 648.,NaN,NaN,NaN,Neuerungen in der Herstellung der sog. Rahmen für Schuhe und Stiefel.,28. Januar 1882.
2,"19089. — ROSENBERG & FRAENKEL in Berlin N., Elsasserstr. 22. Neuerungen an der KUHLMANNschen Schuh-Pflockmaschine. 17. Februar 1882. — A 636.",19089,ROSENBERG & FRAENKEL,"Berlin N., Elsasserstr. 22.",Neuerungen an der KUHLMANNschen Schuh-Pflockmaschine.,17. Februar 1882.
3,"19234. — KEATS, J., in Bagnal, England; Vertreter: BRYDGES & CO. in Berlin, Königgrätzerstr. 107. Neuerungen an Maschinen zur Fertigstellung der Sohlen und Absätze an Schuhwerk. 12. November 1881. — A 739.",19234,"KEATS, J.","Bagnal, England",Neuerungen an Maschinen zur Fertigstellung der Sohlen und Absätze an Schuhwerk.,12. November 1881.
4,"19239. — COMEY, W., in Westboró, V. St. A.; Vertreter: ROBERT R. SCHMIDT in Berlin W., Potsdamerstrafse 141. Neuerungen an Nähmaschinen für Schuhwerk. 13. Dezember 1881. — 612.",19239,"COMEY, W.","Westboró, V. St. A.",Neuerungen an Nähmaschinen für Schuhwerk.,13. Dezember 1881.
5,"19756. — HACHIN, E. C., in Amiens; Vertreter: G. DITTMAR in Berlin SW., Gneisenaustrafse 1. Maschine zum Aufkleben der Gummieinsätze und des Futters auf den Stiefelschaft. 1. März 1882. — A 676.",19756,"HACHIN, E. C.",Amiens,Maschine zum Aufkleben der Gummieinsätze und des Futters auf den Stiefelschaft.,1. März 1882.
6,"19836. — COPELAND, G. W., in Malden, Massach., V. St. A.; Vertreter: ROBERT R. SCHMIDT in Berlin W., Potsdamerstr. 141. Leistenmaschine für Schuhwerk. 10. März 1882. — A 721.",19836,"COPELAND, G. W.","Malden, Massach., V. St. A.",Leistenmaschine für Schuhwerk.,10. März 1882.
7,"19900. — MAYER, C., in Cöln, Gereonsmühlengasse 18. Eiserner Ueberschuh. 31. Januar 1882. — A 706.",19900,"MAYER, C.","Cöln, Gereonsmühlengasse 18.",Eiserner Ueberschuh.,31. Januar 1882.
8,"20062. — LARRABEE, C. S., in Mainz. Neuerung an Schneiderädchen zum Abkanten und Einritzen der Sohle. (I. Zusatz zu P. R. 17705.) 29. April 1882. — A 751.",20062,"LARRABEE, C. S.",Mainz.,Neuerung an Schneiderädchen zum Abkanten und Einritzen der Sohle.,29. April 1882.
9,"20704. — SPENLÉ, M., in Ellrich am Harz. Apparat zum Aufzwicken des Lederschaftes an Schuhleisten. 9. Mai 1882. — A 10083.",20704,"SPENLÉ, M.",Ellrich am Harz.,Apparat zum Aufzwicken des Lederschaftes an Schuhleisten.,9. Mai 1882.
10,"20707. — RACHLER, M., G. HENNEBERG und J. ROTHZIEGEL in Wien; Vertreter: SPECHT, ZIESE & CO. in Hamburg. Neuerung an Absätzen für Schuhwaaren. 14. Mai 1882. — A 5583.",20707,"RACHLER, M., G. HENNEBERG und J. ROTHZIEGEL",Wien,Neuerung an Absätzen für Schuhwaaren.,14. Mai 1882.
