id,entry,patent_id,name,location,description,date
1,"243 580. Düring, Dr Franz, Berlin, Gitschinerstr. 6. Verfahren zur Fixierung von bügelechtem Seidenfinish. 18/1 10. — A 505.",243580,"Düring, Dr Franz","Berlin, Gitschinerstr. 6",Verfahren zur Fixierung von bügelechtem Seidenfinish.,18/1 10
2,"243 683. Badische Anilin- & Soda-Fabrik, Ludwigs= hafen a/Rh. Verfahren zur Herstellung weißer und bunter Reserven unter Küpenfarb= stoffen; Zus. z. Pat. 215 128. 25/10 08. — A 505.",243683,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,Verfahren zur Herstellung weißer und bunter Reserven unter Küpenfarbstoffen,25/10 08
3,"244 360. Münzing, Hugo Richard, Plauen i/V. Ver= fahren zur Herstellung von Stickereien und Phantasiegeweben mit Lufteffekten unter Verwendung oxydierend wirkender Mi= schungen. 28/3 08. — A 657.",244360,"Münzing, Hugo Richard",Plauen i/V.,Verfahren zur Herstellung von Stickereien und Phantasiegeweben mit Lufteffekten unter Verwendung oxydierend wirkender Mischungen.,28/3 08
4,"245 001. Badische Anilin- & Soda-Fabrik, Ludwigs= hafen a/Rh. Verfahren zur Herstellung ge= musterter Färbungen auf Wollplüschen und ähnlich gemischten Geweben. 3/11 10. — A 808.",245001,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,Verfahren zur Herstellung gemusterter Färbungen auf Wollplüschen und ähnlich gemischten Geweben.,3/11 10
5,"245 218. Gesellschaft für Chemische Industrie in Basel, Basel; Vertr.: A. Loll, Pat.-Anw., Berlin S.W. 48. Verfahren zum Weiß- und Buntätzen ge= färbter Böden. 15/2 10. — A 808.",245218,Gesellschaft für Chemische Industrie in Basel,Basel,Verfahren zum Weiß- und Buntätzen gefärbter Böden.,15/2 10
6,"245 308 (†). Farbwerke vorm. Meister Lucius & Brü= ning, Höchst a/M. Verfahren zur Herstellung von dem Chromgelb bzw. Chromorange ähnlichen, plastischen, lichtechten Gelb- bzw. Orangeätzen mittels Formaldehydhydrosulfit bzw. -sulfoxylat auf Indigofärbungen bzw. ätzbaren Küpenfarbstoffen. 9/8 10. — A 861.",245308,Farbwerke vorm. Meister Lucius & Brüning,Höchst a/M.,"Verfahren zur Herstellung von dem Chromgelb bzw. Chromorange ähnlichen, plastischen, lichtechten Gelb- bzw. Orangeätzen mittels Formaldehydhydrosulfit bzw. -sulfoxylat auf Indigofärbungen bzw. ätzbaren Küpenfarbstoffen.",9/8 10
7,"246 252. Badische Anilin- & Soda-Fabrik, Ludwigs= hafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen= farbstoffen mittels Formaldehydsulfoxylate bzw. Formaldehydhydrosulfite, Hydrosul= fite oder anderer Reduktionsmittel; Zus. z. Pat. 231 543. 17/4 10. — A 1054.",246252,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,"Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpenfarbstoffen mittels Formaldehydsulfoxylate bzw. Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktionsmittel",17/4 10
8,"246 519. Badische Anilin- & Soda-Fabrik, Ludwigs= hafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen= farbstoffen mittels Formaldehydsulfoxylate, Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktiosnmittel; Zus. z. Pat. 231 543. 12/6 10. — A 1109.",246519,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,"Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpenfarbstoffen mittels Formaldehydsulfoxylate, Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktiosnmittel",12/6 10
9,"247 046. Farbenfabriken vorm. Friedr. Bayer & Co., Elberfeld. Verfahren zum Drucken von Schwe= felfarbstoffen auf pflanzlichen Fasern. 10/3 08 — A 1208.",247046,Farbenfabriken vorm. Friedr. Bayer & Co.,Elberfeld.,Verfahren zum Drucken von Schwefelfarbstoffen auf pflanzlichen Fasern.,10/3 08
10,"247 099. Badische Anilin- & Soda-Fabrik, Ludwigs= hafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen= oder Schwefelfarbstoffen mittels Formal= dehydsulfoxylate, Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktionsmittel; Zus. z. Pat. 231 543. 23/7 10. — A 1208.",247099,Badische Anilin- & Soda-Fabrik,Ludwigshafen a/Rh.,"Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen- oder Schwefelfarbstoffen mittels Formaldehydsulfoxylate, Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktionsmittel",23/7 10
