id,entry,patent_id,name,location,description,date
1,"40 246. — RUNDLE, R. W., in London N., Cale-donian Road, 7 Offord Road, und TH. ALLEN in London N., Park Villa, Wood Green; Vertreter: A. KUHNT & R. DEISSLER in Berlin C., Alex-anderstrafse 38. Schwimm- und Tauchapparat. 15. Februar 1887. — A 536.",40246,"RUNDLE, R. W., und TH. ALLEN","London N., Caledonian Road, 7 Offord Road, und London N., Park Villa, Wood Green",Schwimm- und Tauchapparat,15. Februar 1887
2,"(†) 40 334. — REINHARD, H., in Oberhausen, Rheinland. Steuervorrichtung für Schiffe. (Zusatz zum Patent 38 473.) 31. Dezember 1886. — A 663.",40334,"REINHARD, H.","Oberhausen, Rheinland",Steuervorrichtung für Schiffe,31. Dezember 1886
3,"40 572. — MERKL, H., in Nürnberg. Umsteuerungs-einrichtung an Klapprudern zur Fortbewegung von Dampfschiffen. 28. April 1886. — A 663.",40572,"MERKL, H.",Nürnberg,Umsteuerungseinrichtung an Klapprudern zur Fortbewegung von Dampfschiffen,28. April 1886
4,"40 614. — PONZELETTI, J., und A. OUDIN in Paris; Vertreter: BRYDGES & CO. in Berlin SW., Königgrätzerstrafse 101. Rettungsapparat für Schiffe. 22. Dezember 1886. — A 684.",40614,"PONZELETTI, J., und A. OUDIN",Paris,Rettungsapparat für Schiffe,22. Dezember 1886
5,"40 679. — WILCOX, R., in London, Leadenhall Street; Vertreter: J. MOELLER in Würzburg, Domstrafse 34. Schiffspropeller mit verstellbaren Schaufeln. 31. März 1887. — A 684.",40679,"WILCOX, R.","London, Leadenhall Street",Schiffspropeller mit verstellbaren Schaufeln,31. März 1887
6,"41 239. — THOMPSON, W. PH., in Liverpool, Lan-caster, England; Vertreter: H. & W. PATAKY in Berlin SW., Königgrätzerstrafse 41. Neuerung in der Befestigung von Schiffsschraubenflügeln in der Nabe. 7. August 1886. — A 798.",41239,"THOMPSON, W. PH.","Liverpool, Lancaster, England",Neuerung in der Befestigung von Schiffsschraubenflügeln in der Nabe,7. August 1886
7,"41 247. — STENHOUSE, A., und H. FENOULHET in Auckland, New Zealand; Vertreter: C. FEHLERT & G. LOUBIER, in Firma: C. KESSELER in Berlin SW., Anhaltstrafse 6. Seitliche Radschrauben-propeller mit im Schiffskörper gelagerten An-triebswellen. 17. Februar 1887. — A 798.",41247,"STENHOUSE, A., und H. FENOULHET","Auckland, New Zealand",Seitliche Radschraubenpropeller mit im Schiffskörper gelagerten Antriebswellen,17. Februar 1887
8,"41 250. — THORSEN, TH., in Arendal; Vertreter: Dr. G. KRAUSE in Cöthen, Anh. Apparat zum Reinigen der Aufsenwände von fahrenden Schiffen. 1. März 1887. — A 798.",41250,"THORSEN, TH.",Arendal,Apparat zum Reinigen der Aufsenwände von fahrenden Schiffen,1. März 1887
9,"41 251. — MOLNÁR, P., in Wien; Vertreter: C. FEHLERT & G. LOUBIER, i. F.: C. KESSELER in Berlin SW., Anhaltstrafse 6. Neuerung an der unter Nr. 37689 geschützten Vorrichtung zur Verstellung des Eintauchwinkels von Schaufel-radpropellern. (Zusatz zum Patent 37 689.) 4. März 1887. — A 798.",41251,"MOLNÁR, P.",Wien,Neuerung an der unter Nr. 37689 geschützten Vorrichtung zur Verstellung des Eintauchwinkels von Schaufelradpropellern,4. März 1887
10,"41 252. — TOWER, B., in Westminster, 19 Great George Street, England; Vertreter: M. M. ROT-TEN in Berlin NW., Schiffbauerdamm 29 a. Ver-fahren zur Erhaltung einer horizontalen Ebene auf schlingernden Fahrzeugen. 21. April 1887. — A 798.",41252,"TOWER, B.","Westminster, 19 Great George Street, England",Verfahren zur Erhaltung einer horizontalen Ebene auf schlingernden Fahrzeugen,21. April 1887
11,"41 410. — FAVARGER, TH., in Paris; Vertreter: G. A. HARDT in Köln, Sionsthal 11. Schutzgürtel für Schiffe etc. zum Signalisiren des Heran-fahrens feindlicher Fahrzeuge. 13. März 1887. — A 893.",41410,"FAVARGER, TH.",Paris,Schutzgürtel für Schiffe etc. zum Signalisiren des Heranfahrens feindlicher Fahrzeuge,13. März 1887
12,"42 186. — SIEMANG, ST., Ober-Lieutenant in Wien; Vertreter: M. M. ROTTEN in Berlin NW., Schiff-bauerdamm Nr. 29 a. Verfahren zur Herstellung von Compound-Hartgufspanzerbestandtheilen. 16. März 1887.",42186,"SIEMANG, ST.",Wien,Verfahren zur Herstellung von Compound-Hartgufspanzerbestandtheilen,16. März 1887
13,"42 220. — ALISON, J. G, in Birkenhead, County of Chester, England; Vertreter: C. FEHLERT & G. LOUBIER, i. F.: C. KESSELER in Berlin SW., Anhaltstrafse 6. Vorrichtung zum Anzeigen der Drehrichtung und Geschwindigkeit von Schiffs-maschinen etc. 21. Mai 1887.",42220,"ALISON, J. G","Birkenhead, County of Chester, England",Vorrichtung zum Anzeigen der Drehrichtung und Geschwindigkeit von Schiffsmaschinen etc,21. Mai 1887
