id,entry,patent_id,name,location,description,date
1,"158471. Compagnie Internationale de l'Electro-Typographe Méray & Rozár, Paris; Vertr.: Pat.-Anwälte Dr R. Wirth, Frankfurt a/M. 1 u. W. Dame, Berlin S.W. 13. Am Ende eines Schriftsatzes selbsttätig wirkende Ausrückvorrichtung für mittels Registerstreifens arbeitende Typen-Gieß- und Setzmaschinen. 7/6 03. — A 448.",158471,Compagnie Internationale de l'Electro-Typographe Méray & Rozár,Paris,Am Ende eines Schriftsatzes selbsttätig wirkende Ausrückvorrichtung für mittels Registerstreifens arbeitende Typen-Gieß- und Setzmaschinen.,7/6 03.
2,"158535 (†). Steiner, Salamon, Szombathely u. Leopold Ullmann, Budapest; Vertr.: R. Deißler, Dr G. Döllner u. M. Seiler, Pat.-Anwälte, Berlin S.W. 61. Winkelhaken, bei dem die bewegliche Backe durch einen in die Öffnungen der mit Einteilung versehenen Seitenwand einfallenden, federbelasteten Stift festgestellt wird. 28/11 03. — A 608.",158535,"Steiner, Salamon, Szombathely u. Leopold Ullmann",Budapest,"Winkelhaken, bei dem die bewegliche Backe durch einen in die Öffnungen der mit Einteilung versehenen Seitenwand einfallenden, federbelasteten Stift festgestellt wird.",28/11 03.
3,"158566 (†). Electro-Typograph, System Méray-Rozár, G. m. b. H., Nürnberg. Verfahren zum zeilenweise erfolgenden Gießen der Ausschlußstücke bei vereinigten mittels Lochregisters betriebenen Typen-Gieß- und Setzmaschinen. 28/10 02. — A 551.",158566,"Electro-Typograph, System Méray-Rozár, G. m. b. H.",Nürnberg,Verfahren zum zeilenweise erfolgenden Gießen der Ausschlußstücke bei vereinigten mittels Lochregisters betriebenen Typen-Gieß- und Setzmaschinen.,28/10 02.
4,"158567. Lanston Monotype Machine Company, Philadelphia; Vertr.: A. du Bois-Reymond u. M. Wagner, Pat.-Anwälte, Berlin S.W. 13. Einstellvorrichtung für den Maternrahmen solcher Typen-Gieß- und Setzmaschinen, bei welchen der Maternrahmen durch zwei zueinander senkrecht gerichtete Bewegungen über der Gußform eingestellt wird. 16/12 03. — A 682.",158567,Lanston Monotype Machine Company,Philadelphia,"Einstellvorrichtung für den Maternrahmen solcher Typen-Gieß- und Setzmaschinen, bei welchen der Maternrahmen durch zwei zueinander senkrecht gerichtete Bewegungen über der Gußform eingestellt wird.",16/12 03.
5,"158893 (†). Hundhausen, Rudolf, Halensee b/Berlin. Gießvorrichtung für typographische Maschinen mit Schmelztopf und Metallpumpe. 10/1 03. — A 646.",158893,"Hundhausen, Rudolf",Halensee b/Berlin,Gießvorrichtung für typographische Maschinen mit Schmelztopf und Metallpumpe.,10/1 03.
6,"159110. Monoline, Maschinenfabrik, Akt.-Ges., Berlin. Zeilenwagen für Matrizensetz- und Zeilengießmaschinen des Monolinesystems. 12/11 03. — A 646.",159110,"Monoline, Maschinenfabrik, Akt.-Ges.",Berlin,Zeilenwagen für Matrizensetz- und Zeilengießmaschinen des Monolinesystems.,12/11 03.
7,"159543. Mergenthaler Setzmaschinen-Fabrik G. m. b. H., Berlin. Zweiteilige Gießform mit durch Einsatzstücke verstellbarem Gießschlitz. 3/12 03. — A 818.",159543,Mergenthaler Setzmaschinen-Fabrik G. m. b. H.,Berlin,Zweiteilige Gießform mit durch Einsatzstücke verstellbarem Gießschlitz.,3/12 03.
8,"159694. Lamp'l, Paul Julius, Wiesbaden, Goethestr. 3. Zur Herstellung von Buchdrucksetzmaterial dienendes Form- und Gießwerkzeug. 1/2 02. — A 762.",159694,"Lamp'l, Paul Julius","Wiesbaden, Goethestr. 3",Zur Herstellung von Buchdrucksetzmaterial dienendes Form- und Gießwerkzeug.,1/2 02.
9,"159722 (†). Mc Clintock, Frank, Mount Vernon, V. St. A.; Vertr.: F. C. Glaser, L. Glaser, O. Hering u. E. Peitz, Pat.-Anwälte, Berlin S.W. 68. Vorrichtung zum Heben und Einschieben der vorläufigen Ausschlußstücke an Maschinen zum Ausschließen von Letternzeilen. 21/5 02. — A 844.",159722,"Mc Clintock, Frank","Mount Vernon, V. St. A.",Vorrichtung zum Heben und Einschieben der vorläufigen Ausschlußstücke an Maschinen zum Ausschließen von Letternzeilen.,21/5 02.
10,"159824 (†). Bell, Jerome Bonaparte, Wilmington, V. St. A.; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Pat.-Anwälte, Berlin N.W. 40. Zeilengießmaschine für gemischten Satz. 26/4 02. — A 845.",159824,"Bell, Jerome Bonaparte","Wilmington, V. St. A.",Zeilengießmaschine für gemischten Satz.,26/4 02.
11,"160064. Bourdillat, Gaston, Paris; Vertr.: A. Elliot, Pat.-Anw., Berlin S.W. 48. Vorrichtung zum Pressen von Buchstabenkörpern für Schreibmaschinen. 14/1 04. — A 845.",160064,"Bourdillat, Gaston",Paris,Vorrichtung zum Pressen von Buchstabenkörpern für Schreibmaschinen.,14/1 04.
12,"160315. Wolters, Otto Adolf, Hannover, Lemförderstr. 5. Maschine zum Betriebe von Klaviaturmaschinen. 8/10 03. — A 887.",160315,"Wolters, Otto Adolf","Hannover, Lemförderstr. 5",Maschine zum Betriebe von Klaviaturmaschinen.,8/10 03.
13,"160810. Syndicaat tot Exploitatie van het procédé ter vervaardiging van stereotypie platen, Haag; Vertr.: E. Boehm, Pat.-Anw., Berlin S. 42. Verfahren zur Herstellung von Stereotypplatten zu Druckzwecken. 7/4 03. — A 981.",160810,Syndicaat tot Exploitatie van het procédé ter vervaardiging van stereotypie platen,Haag,Verfahren zur Herstellung von Stereotypplatten zu Druckzwecken.,7/4 03.
14,"161237. Gilbert-Stringer, Henry James Sydney, Westbourne Park, Engl.; Vertr.: C. Gronert, u. W Zimmermann, Pat.-Anwälte, Berlin S.W. 61. Vorrichtung zur Überführung der gesetzten Zeile in die Ausschließvorrichtung bei dem Verfahren zur Herstellung von Druckformen mittels Matrizensetz- und Typengießmaschine nach Patent 135374; Zus. z. Pat. 135374. 24/6 00. — A 1146.",161237,"Gilbert-Stringer, Henry James Sydney","Westbourne Park, Engl.",Vorrichtung zur Überführung der gesetzten Zeile in die Ausschließvorrichtung bei dem Verfahren zur Herstellung von Druckformen mittels Matrizensetz- und Typengießmaschine nach Patent 135374,24/6 00.
15,"161525 (†). Mc Clintock, Frank, Mount Vernon, V. St. A.; Vertr.: F. C. Glaser, L. Glaser, O. Hering u. E. Peitz, Pat.-Anwälte, Berlin S.W. 68. Letternauswerfer für Setzmaschinen, bei denen die gezahnten Stoßstangen mit einer von einer ständig umlaufenden Triebscheibe durch Reibung mitgenommenen Zahnwalze zeitweise in Eingriff kommen. 18/6 02. — A 1210.",161525,"Mc Clintock, Frank","Mount Vernon, V. St. A.","Letternauswerfer für Setzmaschinen, bei denen die gezahnten Stoßstangen mit einer von einer ständig umlaufenden Triebscheibe durch Reibung mitgenommenen Zahnwalze zeitweise in Eingriff kommen.",18/6 02.
16,"161526 (†). Elektrizitäts-Akt.-Ges. vormals Schuckert & Co., Nürnberg. Vorrichtung zum selbsttätigen Schließen eines elektrischen Stromkreises zwecks Abstellens einer Lettern-Gieß- und Setzmaschine bei fehlerhafter Ausschließung einer Zeile. 3/1 04. — A 1173.",161526,Elektrizitäts-Akt.-Ges. vormals Schuckert & Co.,Nürnberg,Vorrichtung zum selbsttätigen Schließen eines elektrischen Stromkreises zwecks Abstellens einer Lettern-Gieß- und Setzmaschine bei fehlerhafter Ausschließung einer Zeile.,3/1 04.
17,"161844. Lanston Monotype Machine Company, Philadelphia; Vertr.: A. du Bois-Reymond u. M. Wagner, Pat.-Anwälte, Berlin S.W. 13. Vorrichtung zum Verriegeln des sekundären Einstellers an solchen Typen-Gieß- und Setzmaschinen, bei denen die Matern in einem Rahmen schachbrettartig angeordnet sind. 16/12 03. — A 1246.",161844,Lanston Monotype Machine Company,Philadelphia,"Vorrichtung zum Verriegeln des sekundären Einstellers an solchen Typen-Gieß- und Setzmaschinen, bei denen die Matern in einem Rahmen schachbrettartig angeordnet sind.",16/12 03.
18,"162397. Heinze, Carl, Duisburg a/Rh., Musseldstr. 15. Parallel-Schließzeug für Buchdruckformen mit in Vertiefungen eines Schließsteges eingreifenden Schließschenkeln. 11/2 04. — A 1349.",162397,"Heinze, Carl","Duisburg a/Rh., Musseldstr. 15",Parallel-Schließzeug für Buchdruckformen mit in Vertiefungen eines Schließsteges eingreifenden Schließschenkeln.,11/2 04.
