id,entry,complete_patent
1,"131862. Wallace, Roger William, London; Vertr.: F. C. Glaser u. P. Glaser, Pat.-Anwälte, Berlin S.W. 68. Selbsttätiger Fernsprechumschalter. 14/11 95. — A 1208.",1
2,"131896 (†). Dudek, Willy, u. Wilhelm Barthe, Breslau, Hummerei 25 bzw. Christophvipl. 7. Selbstkassierende Fernsprechstelle, bei welcher das Anrufen nur nach Einwurf einer bestimmten Münze möglich ist. 29/6 01. — A 1208.",1
3,"132108. Allgemeine Elektricitäts-Gesellschaft, Berlin. Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen. 26/4 01. — A 1140.",1
4,"132109. Allgemeine Elektricitäts-Gesellschaft, Berlin. Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen; Zus. z. Pat. 132108. 12/7 01. — A 1140.",1
5,"132206. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Relais zum Uebertragen von Wechselstromsignalen auf elektrische Apparate, die in einem Ortsstromkreise liegen. 5/12 00. — A 1140.",1
6,"132329. Van Wagenen, Anthony, Sioux, V. St. A.; Vertr.: P. Müller, Pat.-Anw., Berlin S.W. 46. Schaltgesperre, insbesondere für selbsttätige Fernsprechumschalter. 20/8 01. — A 1208.",1
7,"132354. Siemens & Halske Akt.-Ges., Berlin. Schaltungsanordnung für Fernsprechämter mit parallel abgezweigten Teilnehmerklinken; Zus. z. Pat. 131123. 3/4 01. — A 1209.",1
8,"132355. Siemens & Halske Akt.-Ges., Berlin. Fernsprechstelle mit lauttönenden, seitlich am Gehäuse drehbar angeordneten Fernhörern. 10/9 01. — A 1209.",1
9,"132436 (†). Telephon- und Telegraphen-Werke Hugo Becker, Berlin. Schaltung für gemeinschaftliche Fernsprechleitungen. 27/4 00. — A 1209.",1
10,"132438. Thomson, Arthur Thomas Milnor, London; Vertr.: C. Fehlert, G. Loubier u. Fr. Harmsen, Pat.-Anwälte, Berlin N.W. 7. Selbsttätige Anrufvorrichtung mit Zeitschromschließer für Fernsprechanlagen. 14/4 01. — A 1209.",1
11,"132672. Ries, Elias Elkan, New-York; Vertr.: H. Pataky u. W. Pataky, Berlin N.W. 6. Fernhörer mit selbsttätiger Umschaltung. 12/12 99. — A 1277.",1
12,"132673. Siemens & Halske Akt.-Ges., Berlin. Schaltungsanordnung für Fernsprechanlagen. 14/2 01. — A 1244.",1
13,"132674. Siemens & Halske Akt.-Ges., Berlin. Fernsprechanlage mit selbsttätiger Herstellung der Verbindungen. 24/2 01. — A 1245.",1
14,"132712. de Chimkévitch, Pierre, Paris; Vertr.: Dr B. Alexander-Katz, Pat.-Anw., Görlitz. Vorrichtung für telegraphische Zwecke zum Erzeugen einer regelbaren Anzahl von Stromstößen. 24/10 00. — A 1277.",1
15,"132871. Gray National Telautograph Company, New-York; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Pat.-Anwälte, Berlin N.W. 40. Vorrichtung zur Versorgung der Empfängerseder von Schreibtelegraphen mit Tinte. 20/2 01. — A 1277.",1
16,"132923. Stassing, Frans Birger, Stockholm u. Carl Egnér, Sundbyberg, Schwed.; Vertr.: Pat.-Anwälte D. R. Schulz, W. 66, u. F. Schwenterley, S.W. 48, Berlin. Vorrichtung zum Sichern von Fernsprechapparaten gegen unbefugte Benutzung. 26/2 01. — A 1277.",1
17,"133010. Deutsche Telephonwerke R. Stock & Co., G. m. b. H., Berlin. Schaltung für Fernsprech-Vermittlungsämter mit Vorschaltetafeln. 29/1 01. — A 1326.",1
18,"133385 (†). The International Tyhal Telegraph Co., Detroit, V. St. A.; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1. Empfänger für Drucktelegraphen. 10/5 99. — A 1358.",1
19,"133386. Deckert, Wilhelm, Wien; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Pat.-Anwälte, Berlin N.W. 40. Schalldeckel für Mikrophone. 29/10 01. — A 1359.",1
20,"133387. Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles, Charlottenburg. Schaltung für Fernsprechsysteme mit gemeinsamer Mikrophonspeisung. 15/1 01. — A 1327.",1
21,"133531. Faller, Ernst August, u. James White Chisholm, San Francisco; Vertr.: H. Neubart, Pat.-Anw., u. F. Kollm, Berlin N.W. 6. Einrichtung zur gleichzeitigen ungestörten Sprechverbindung zwischen mehreren Paaren von Fernsprechstellen, die auf derselben Leitung liegen. 24/7 00. — A 1359.",1
22,"133532 (†). Ammer, Victor, Wien; Vertr.: R. Deißler, Pat.-Anw., F. Maemecke u. Fr. Deißler, Berlin N.W. 6. Schaltung für Fernsprechanlagen. 24/1 99. — A 1457.",1
23,"133635. Nißl, Franz, Wien; Vertr.: C. Fehlert, G. Loubier u. Fr. Harmsen, Pat.-Anwälte, Berlin N.W. 7. Vorrichtung zum Anrufen einer beliebigen, von mehreren an dieselbe Leitung angeschlossenen Fernsprechstellen vom Amte aus mittels Wechselstromes. 23/4 01. — A 1388.",1
24,"133636. Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles, Charlottenburg. Gesprächszählerschaltung für Fernsprechstellen; Zus. z. Pat. 124253. 16/1 02. — A 1359.",1
25,"133680. The Rowland Telegraphic Company, Baltimore; Vertr.: C. Hoffmann, Pat.-Anw., Berlin S.W. 68. Einrichtung, welche es ermöglicht, bei mit Wechselstrom betriebenen Telegraphen einen, mit dem Linienstrom nach Frequenz oder Frequenz und Richtung übereinstimmenden Ortswechselstrom aus einer Gleichstromquelle abzuleiten; Zus. z. Pat. 128390. 15/8 01. — A 1359.",1
26,"133681. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Gesprächszählerschaltung für Fernsprechämter, bei welchen die Zählung durch den Gebrauch der Abfragestöpsel und einer Taste im Amte bewirkt wird. 18/6 01. — A 1388.",1
27,"133682. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Stöpselschnur. 18/8 01. — A 1360.",1
28,"133718. Slaby, Dr Adolf, Charlottenburg, Sophienstr. 4, u. Georg Graf von Arco, Berlin, Cuxhavenerstr. 2. Eine durch Kondensator geschlossene, an Erde liegende Sendeschleife für Funkentelegraphie. 4/11 99. — A 1419.",1
29,"133815. Stroud, Harold Dudley, Chicago; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1 u. W. Dame, Pat.-Anw., Berlin N.W. 6. Gesprächszähler für Fernsprechstellen, bei welchem das Zählwerk durch den anrufenden Teilnehmer bei Uebermittelung eines Signales nach dem Vermittelungsamte fortgeschaltet wird. 30/10 00. — A 1647.",1
30,"133900. Cerebotani, Dr Luigi, Blumenstr. 48, u. Carl Moradelli, Baumstr. 2, München. Schaltvorrichtung für Fernsprech- oder Fernschreibanlagen zum ungestörten Verkehr einer von mehreren Sprechstellen an einem Endort mit einer von mehreren Sprechstellen an einem zweiten Endort auf derselben Leitung. 3/6 00. — A 1457.",1
31,"133901. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Klinke für Vielfachumschalter. 22/5 01. — A 1457.",1
32,"133945. Siemens & Halske Akt.-Ges., Berlin. Schaltungsanordnung auf Fernsprechämtern mit parallel abgezweigten Teilnehmerklinken; Zus. z. Pat. 131123. 6/9 00. — A 1534.",1
