id,entry,complete_patent
1,"OTTO, TH. Kuppelungsvorrichtung zum Anhängen der Wagen auf Seilbahnen an das Zugseil nebst Verbesserung an dieser Vorrichtung. 12. September 1877. P. R. 919.",1
2,"NEUERBURG, M. Vorrichtung zur Anklemmung von Fördergefäfsen an das Zugseil bei Seilbahnen. 15. November 1877. P. R. 1312.",1
3,"VON FELBINGER, F., Ritter, und CRESPIN, A. Depeschen-Aufgaberesp. Empfangsapparat an pneumatischen Telegraphen. 2. Oktober 1877. P. R. 1506.",1
4,"NEUERBURG, M. & SCHULTEN, F. Kontinuirlich wirkende Drahtseilbahn. 23. Dezember 1877. P. R. 1655.",1
5,"REULAND, M. Kokslösch- und Verladungsapparat. 1. Dezember 1877. P. R. 2328.",1
6,"VON BERND, L. Neuerungen an Rollmaschinen für Lagerfässer. 26. März 1878. P. R. 2433.",1
7,"BLEICHERT, A. Verbessertes System von Drahtbahnen. 23. September 1877. P. R. 2934.",1
8,"DIPPE, F. Rübentransporteur. 6. April 1878. P. R. 3481.",1
9,"WESTERLUND, A. F. Hängebahn zu Transportzwecken. 18. April 1878. P. R. 3688.",1
10,"BLEICHERT, A. Verbesserungen an Drahtseilbahnen. Zusatzpatent zu P. R. 2934. 8. Dezember 1877. P. R. 3761.",1
11,"GERMANIA, Maschinenfabrik, vorm. J. S. SCHWALBE und SOHN. Mechanische Malzdarre. 3. Juli 1877. P. R. 17.",1
12,"CRESPEL, G. Trockenapparat. 8. Juli 1877. P. R. 76.",1
13,"LINKE, R. Trockenapparat für Braunkohle. 1. Aug. 1877. P. R. 88.",1
14,HÜNERKOPF & SOHN. Mechanische Malzdarre mit eigenthümlicher Hordenbildung und kombinirter Hub- und Wendevorrichtung. 11. September 1877. P. R. 406.,1
15,"KLEINAU, B. Cichorien- und Runkelrübendarre. 17. August 1877. P. R. 603.",1
16,"GRIESEMANN, H. V. Darre mit kreuzweis übereinander liegenden Blättern. 25. September 1877. P. R. 629.",1
17,"HERSEY, CH. H. Trocken- und Kühlapparat. 27. September 1877. P. R. 631.",1
18,"SCHIMMEL, O. Wäschetrockenmaschine. 4. Juli 1877. P. R. 928.",1
19,"HAUBOLD JR., C. G. Anordnung von Cylinder-Trockenmaschinen. 4. Dezember 1877. P. R. 1337.",1
20,"HAUBOLD JR., C. G. Beständig wirkende Schleuder. 18. November 1877. P. R. 1417.",1
21,"HAHN, E. Mechanische Malzdarre. 24. November 1877. P. R. 1418.",1
22,"NOKE, H. E. Trocken- und Darrapparat mit rotirenden Trommeln. 22. Juli 1877. P. R. 1432.",1
23,"ULRICH, Gebrüder. Stetig wirkende und selbstwendende Malzdarre. 29. November 1877. P. R. 1443.",1
24,"KUNZE, W. Universal-Papptrockenapparat. 7. November 1877. P. R. 1509.",1
25,"BEHNISCH, C. H. Trockenmaschine für Pappen. 4. Januar 1878. P. R. 1519.",1
26,"VON SCHLEMMER, A. Mechanisch kontinuirlich arbeitender Malzdarr-Wendeapparat. 10. Juli 1877. P. R. 1523.",1
