id,entry,complete_patent
1,"54844. — PHILIPPE, E., und J. M. GENET in Paris, 14 Rue de Marseille; Vertreter: W. J. E. KOCH in Hamburg, Zeughausmarkt 42. Messerputzmaschine. 11. Juli 1890.",1
2,"54905. — GOLDSCHMIDT, G., in Berlin S.W., Kochstrasse 10. Stuhlbett. 14. September 1889.",1
3,"54940. — JURY, O. F. H., in Berlin S.W., Besselstrasse. Spindbett. 17. April 1890.",1
4,"55271. — VAN GALEN, W., und A. TERLINDEN in Rees a. Rhein. Eieruhr. 22. April 1890.",1
5,"55272. — FIEDLER, A., in Lindenau, Querstrasse. Vorhang- und Rosettenhalter. 28. Mai 1890.",1
6,"55273. — WAHL, A., in München, Promenadeplatz 5. Selbstthätige Einstellvorrichtung für Ständer und hängende Träger. (Zusatz zum Patente Nr. 54287.) 3. Juni 1890.",1
7,"55274. — SPERLING, F., in Berlin N., Treskowstr. 32. Zählständer. 1. Juli 1890.",1
8,"55275. — ELLIS, J., und W. J. WALLIS in Jersey City, New-Jersey, V. St. A.; Vertreter: C. PATAKY in Berlin S., Prinzenstrasse 100. Zusammenlegbarer Kinderwagen. 10. September 1889.",1
9,"55284. — DEFFNER, C., in Efslingen a. N. Kaffeemaschine. 10. Juni 1890.",1
10,"55286. — JARCK, H., in Flensburg. Ausgussgefäss mit Rückflussrinne für nachfliessende Tropfen. 25. Juli 1890.",1
11,"55294. — ROBINSOHN, G., in Löbtau - Dresden. Waschmaschine. 15. Februar 1890.",1
12,"55410. — PHILIPSON, M., in Wilhelmshaven und RAMMOSER & Co. in Berlin. Schneidemaschine. 6. März 1890.",1
13,"55412. — ERXLEBEN, E., in Karlsruhe, Akademiestrasse 39. Zusammenlegbare Staffelei. 29. April 1890.",1
14,"55415. — LÖBBE, A., in Firma GEBR. LÖBBE, in Crefeld. Verbindung von Rahmentheilen. 24. Mai 1890.",1
15,"55417. — STOREY, A. H., in 38 Lindore Road, London, England; Vertreter: C. FEHLERT & G. LOUBIER, in Firma C. KESSELER, in Berlin S.W., Anhaltstrasse 6. Messerputzer. 15. Juni 1890.",1
16,"55418. — RICHTER, GEBRÜDER, in Wurzen, Sachsen, Markt 10. Ausziehbarer Zeitungshalter. 27. Juni 1890.",1
17,"55420. — OBERLÄNDER, C., in Stettin-Grünhof. Streucloset. 2. Juli 1890.",1
18,"55421. — FLORSCH, J., in Gremsdorf, Post Greulich in Schlesien. Steinschraube. 12. Juli 1890.",1
19,"50841. — SPÜHL, H., in St. Fiden bei St. Gallen, Schweiz; Vertreter: A. KUHNT & R. DEISSLER in Berlin C., Alexanderstrasse 38. Verschiebbare Muffe zur selbstthätigen Geschwindigkeitsänderung bei Aufzügen. 22. Juni 1889. — A 254.",1
20,"50984. — BEISSNER SEN., L., in Stadthagen. Lukenverschluss. 22. Dezember 1888. — A 275.",1
21,"50991. — DOLBERG, R., in Rostock, Mecklenburg. Heblade. 2. Juni 1889. — A 275.",1
22,"51059. — FORD, TH. P., und W. A. GIBSON in London, 4 Queen Victoria Street; Vertreter: BRYDGES & CO. in Berlin S.W., Königgrätzer- strasse 101. Steuerungsvorrichtung für Wasserdruck-Fahrstühle. 16. März 1889. — A 295.",1
23,"51065. — OCHEL, E., in Bergneustadt. Becherwerk mit umklappbaren Bechern. 15. Mai 1889. — A 295.",1
24,"(†) 51537. — BRISSLER, G., in Berlin S.W., Teltowerstrasse 37 IV. Scheeren-Hebezeug mit Schraubenfedern. 17. September 1889. — A 436.",1
25,"51756. — HAMBRUCH, G., in Berlin S.W., Wilhelmstrasse 124 I. Fahrstuhl mit endlosem Seilbetrieb. 23. Juli 1889. — A 436.",1
26,"51757. — HEIL, H., Fürstl. Markscheider, in Braunfels, Kreis Wetzlar. Fangvorrichtung für Förderkörbe mit 3 Paar Fanghebeln. 13. August 1889. — A 473.",1
27,"51907. — HOPPE, C., in Berlin N., Gartenstrasse 9-12. Luftdicht abgeschlossenes Zwischengefäfs mit Rückstauventil für Wasserdruckleitungen für Kraft- und Arbeitsmaschinen. 15. Oktober 1889. — A 473.",1
28,"51911. — HAGEN, J., in Hamburg, Pinnasberg 32. Reibungswinde mit Gewichts Ein- und Ausrückung. 30. Mai 1889. — A 473.",1
29,"52013. — KROLL & Co., G. A., in Hannover, Cellerstrasse 107. Abänderung der selbstthätigen Sperrvorrichtung der gehobenen und Bremse der sinkenden Last bei Hebewerken mit wechselnder Umlaufrichtung. (Zusatz zum Patente Nr. 38759.) 26. Oktober 1889. — A 529.",1
30,"(†) 52209. — FRIEDMANN, M., in Berlin S.W., Yorkstrasse 71. Neuerung an Fördervorrichtungen für Baumaterialien. 7. März 1889. — A 575.",1
31,"52216. — NEUKIRCH, F., in Bremen, Neue Börse 19. Drehkrahn mit drehbarem Untergestell. 15. November 1889. — A 575.",1
32,"52460. — BINELLI, F., in Rom; Vertreter: G. BRANDT in Berlin S.W., Kochstrasse 4. Hebeapparat für gesunkene Schiffe. 3. August 1889. — A 596.",1
33,"52871. — BOUVIER, A., in Niedersgegen, Reg. Bez. Trier. Lasthebezeug mit Selbstsperrung durch Fallklinke und Sperrarm. 11. Januar 1890. — A 695.",1
34,"52998. — BATT, CH. F., in Brooklyn, 327 Jefferson Avenue, New-York, V. St. A.; Vertreter: C. FEHLERT & G. LOUBIER, in Firma C. KESSELER, in Berlin S.W., Anhaltstrasse 6. Selbsthemmender Differential-Flaschenzug. 17. September 1889. — A 696.",1
35,"52999. — KROLL & CO., G. A., in Hannover. Schachtthürenverschluss für Fahrstühle. 3. Dezember 1889. — A 696.",1
36,"(†) 53042. — BORN, G., in Dresden-A., Blasewitzerstrasse 37 c part. Mittelst Schnecke verschiebbare Windetrommel für Aufzüge. 10. August 1889. — A 696.",1
37,"53477. — GIBSON, W. P., in London, 15 Queen Street; Vertreter: BRYDGES & CO. in Berlin S.W., Königgrätzerstr. 101. Hülfssteuervorrichtung zur Regelung der Bewegung des Hauptsteuerschiebers bei Wasserdruck-Aufzügen. 1. Januar 1890. — A 806.",1
38,"53484. — WEISMÜLLER, GEBRÜDER, in Bockenheim-Frankfurt a. M., Jordanstrasse 10. Geschwindigkeitsregeler für Wasserdruck-Aufzüge. 21. März 1890. — A 806.",1
39,"53485. — WEISMÜLLER, GEBRÜDER, in Bockenheim-Frankfurt a. M., Jordanstrasse 10. Fangvorrichtung für Fahrstühle. 21. März 1890. — A 806.",1
