id,entry,complete_patent
1,stellung von Kleidertaschen. 28/9 00. — A 1342.,1
2,"123380. Willmann j., H., Oberndorf a/N., Württ. Befestigungsvorrichtung für Hosenträger. 18/12 00. — A 1342.",1
3,"123702. Martens, Dr E., Graudenz. Kleidungsstück. 22/7 99. — A 1342.",1
4,"123703. Ström, G., u. A. Ström, Paris; Vertr.: G. Dedreux u. A. Weickmann, Pat.-Anwälte, München. In eine Hose zu verwandelnde Reisedecke. 12/10 00. — A 1343.",1
5,"123704. Kaudelka, K., Dresden, Paul Gerhardstr. 11. Kragenverschluß. 18/11 00. — A 1469.",1
6,"124851. Martens, Dr E., Graudenz. Kleidungsstück aus doppelwandigem, luftundurchlässigem Stoff; Zus. z. Pat. 123702. 26/9 99. — A 1570.",1
7,"126021. Fiedler, Frl. M., Hannover, Luisenstr. 1. Gürtelschützer. 5/4 00.",1
8,"126022. Warren, J. Th., London; Vertr.: S. H. Rhodes, Pat. - Anw., Berlin S.W. 12. Wetterschutzdecke für die Hände von Fahrern. 20/10 00.",1
9,"126023. Bohris, C., Frankfurt a M., Kirchnerstr. 3. Ausgleichtissen zur Verdeckung der Krümmung sog. O-Beine. 17/11 00.",1
10,"126024. Neumann, P., Nürnberg, Kohlengasse 19. Federnde Druckknopfbefestigung für Kravatten. 16/2 01.",1
11,"126055. Pullman, J., Teddington; Vertr.: Dr. B. Alexander-Katz, Pat.-Anw., Görlitz. Wickelgamasche. 18/12 00.",1
12,"126056. Küppers, P., Wegberg, Kreis Erkelenz. Kravattenhalter. 9/2 01.",1
13,"126142. Meyer, C., Cassel, Milchlingstr. 2. Hosenförmiges, jackartiges wasserdichtes Schutzkleid für Reiter. 7/3 01.",1
14,"126455. Goldschmidt, E., Wien; Vertr.: H. Pataky u. W. Pataky, Berlin N.W. 6. Einfassung für Roßhaargewebe. 19/12 00.",1
15,"126705. Petersen, Frl. M., Hamburg, Deichstr. 33. Kragenknopf mit Kravattenhalter. 3/5 01.",1
16,"126843. Sachs Söhne, A., Berlin. Damengürtel mit Kleiderraffern. 19/12 00.",1
17,"127149. Irving, M. A., geb. Imbert, Victoria; Vertr.: E. W. Hopkins, Pat. - Anw., Berlin C. 25. Vorrichtung zum Zusammenhalten und Befestigen von Kleidungsstücken. 9/1 01.",1
18,"127608. Dudzus, M., Pankow. Kravattenhalter. 23/12 00.",1
19,"128133. Dome, Ch. H., Prescott; Vertr.: M. Schmetz, Pat. - Anw., Aachen. Befestigungsvorrichtung für Hosenträger. 19/5 01.",1
20,"128382. Offene Handels-Ges. Barton & Teubel, Hermsdorfstadt, Kreis Landeshut i/Schl. Zierschleife. 21/4 01.",1
21,"117980. von Bischoffshausen, A. Baronin, geb. Freiin von Bodenhausen, Kassel, Kölnische Allee 91. Verschlußstreifen mit fertigen Knopfslöchern. 9/11 99. — A 407.",1
22,"118020 (†). Plüschke, E., Teplitzwoda, Kr. Münsterberg, Schles. Taschenverschluß; Zus. z. Pat. 110216. 6/7 00. — A 447.",1
23,"118893 (†). Bunge, E., Lübeck, Fackenburger Allee 1d. Sicherheitsvorrichtung für Kleidertaschen. 26/5 00. — A 529.",1
24,"119289. Gensichen, E., u. E. Ehrke, Stettin. Sicherheitsverschluß für Taschen in Kleidungsstücken. 26/7 00. — A 627.",1
25,"119290. Robin, J. Th., New-York; Vertr.: E. Dalchow, Pat. - Anw., Berlin N.W. 6. Korsettverschluß. 21/11 99. — A 627.",1
26,"119367. Wagener & Schilling, Oberkaufungen b/Kassel. Korsettschließe. 29/5 00. — A 671.",1
27,"120178 (†). Hime, R., Briarleigh; Vertr.: A. Gerson u. G. Sachse, Pat.-Anwälte, Berlin S.W. 48. Gamaschenverschluß. 3/6 00. — A 837.",1
28,"120871 (†). Galli, A., O. Mohr u. E. Trumpf, Halberstadt. Verschluß für Beinkleider. 15/4 00. — A 837.",1
29,"120973. Doolittle, J. P., East Toronto; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1. Schließhaken für Kleider u. dgl. 30/6 00. — A 873.",1
30,"121360. Stegmann, A., Ruhrort. Taschenverschluß. 20/10 00. — A 1019.",1
31,"121952. Rieckmann, A., London; Vertr.: Rob. R. Schmidt, Pat.-Anw., Berlin S.W. 46. Für Handschuhe und andere Gebrauchsgegenstände bestimmter Verschluß. 18/4 00. — A 1056.",1
32,"122129. Pedersen, Th., Kragerö; Vertr.: A. Specht u. J. D. Petersen, Pat.-Anwälte, Hamburg 1. Haken und Oesenverschluß. 6/12 00. — A 1089.",1
33,"122195. Conrad Nachf., R., Schweidnitz. Vorrichtung zur Befestigung von Zweiloch-Kleiderknöpfen u. dgl. 28/9 00. — A 1165.",1
34,"122365 (†). Washburne, J. V., Waterbury; Vertr.: C. H. Knoop, Pat.-Anw., Dresden. Werkzeug zur Vereinigung der Theile eines Handschuh- oder sonstigen Kleiderverschlusses. 29/8 00. — A 1165.",1
35,"123381. Browning, T. J., geb. Clarke, Frankford; Vertr.: E. Pataky, E. Wolf u. A. Sieder, Pat.-Anwälte, Berlin S. 42. Aus Draht gebogene Haken und Oesen. 16/1 01. — A 1343.",1
36,"124447. Aktiebolaget Platons knappfästare, Jönköping; Vertr.: Fr. Messert u. Dr L. Sell, Pat. - Anwälte, Berlin N.W. 7. Vorrichtung zur Befestigung von Knöpfen und Anhängseln an Kleidungsstücken o. dgl. 13/11 00. — A 1571.",1
37,"124852. Hunaeus, Dr P., Linden-Hannover. Schnürlochöse mit Rand aus Celluloid oder ähnlichem Stoff. 15/11 00. — A 1571.",1
38,"124904. Stück, L., Halle a/S., Hedwigstr. 1. Verschluß für Kleidertaschen. 1/2 01. — A 1617.",1
39,"126025. Tetzlaff, R., Greiz i/V. Rockbundverschluß. 13/3 01.",1
40,"126057. Raymond, A. F., Grenoble; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1. Maschine zum Befestigen von Druckknopfkappen. 27/4 00.",1
41,"126143. Ucko, S., Ohlauerstr. 45, u. D. Feldmann, Bohrauerstr. 29, Breslau. Verstärkungsplatte für das vordere Knopfloch von Hemden und Vorhemden. 26/10 00.",1
42,"126301. Hunaeus, Dr P., Linden-Hannover. Schnürlochöse. 15/11 00.",1
43,"126456. Hunaeus, Dr P., Linden-Hannover. Schnürlochöse. 9/10 00.",1
44,"127782. Washburne, J. V., Waterbury; Vertr.: C. H. Knoop, Pat.-Anw., Dresden. Druckknopf-Verschluß für Handschuhe oder Kleidungsstücke. 29/8 00.",1
45,"128339. Watson, E. V., Upper Norwood; Vertr.: A. du Bois-Reymond u. M. Wagner, Pat.-Anwälte, Berlin N.W. 6. Haken- und Oesenverschluß. 4/12 00.",1
46,"118924. Peters, W., Köln, Aachenerstr. 51. Meßgerät zur Herstellung von Schnittmustern ohne Maßnehmen. 17/1 00. — A 561.",1
47,119474. Vereinigte Berliner u. Erdmansdorfer Büsten-,0
