id,entry,complete_patent
1,"91367. Arndt C., Braunschweig. Walzwerk mit mehreren hintereinanderliegenden Walzenpaaren. 11/3 96. — A 784.",1
2,"91456. Pieper fils, H., Lüttich; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Berlin N.W., Hindersinstr. 3. Bremsvorrichtung für den Abwickelhaspel von elektrisch betriebenen Drahtziehmaschinen. 18/4 96. — A 501.",1
3,"91573. Menne, F., i/F. Menne & Co., Weidenau-Sieg. Walzwerk mit hydraulischer Einstellung der Walzen. 26/6 95. — A 502.",1
4,"91785. Frese, W., Dortmund. Selbstthätige Ausrückvorrichtung für Drahtziehbänke mit Riemenantrieb. 16/9 96. — A 502.",1
5,"92346. Williams, F., Woodlands, Gowerton, u. G. H. White, Altw Forge, Pontardulais; Vertr.: C. Köstel, Berlin S.W., Friedrichstr. 48. Verfahren und Maschine zum Trennen von Platten oder Blechen, welche durch Walzen oder Pressen zu einem Stoß vereinigt wurden. 4/7 96. — A 540.",1
6,"92580. Harmann, C., Schwerte u. Th. Geck, Altena i/W. Mehrfache Drahtziehmaschine. 22/1 96. — A 607.",1
7,"92633. Hayward, F., Warrington, Engl.; Vertr.: F. Deißler, F. Maemecke u. Fr. Deißler, Berlin N.W., Luisenstr. 31a. Führungsrohr für (Draht-) Walzwerke. 16/2 96. — A 764.",1
8,"92691. Mouton, F. F., Paris; Vertr.: C. Fehler u. G. Loubier, Berlin N.W., Dorotheenstr. 32. Walzen zum Ziehen von Draht. 9/7 96. — A 764.",1
9,"92741. Stein, A., Düsseldorf-Grafenberg, Grafenberger Chaussee 323. Glühofen mit zwei Herden. 3/11 96. — A 784.",1
10,"92874. Tümmler, G., Dillingen a/Saar u. L. Albrecht, Siegen i/W. Platinen- und Blech-Glühofen. 13/12 96. — A 558.",1
11,"93483. Bobin fils, Benjamin, St. Sulpice près l'Aigle, Orne; Vertr.: A. Mühle u. W. Ziolecki, Berlin W., Friedrichstr. 78. Drahtziehbank für ununterbrochenen Zug. 12/11 96. — A 784.",1
12,"93572. Bergmann, L., Feistritz, Kärnten; Vertr.: H. Pataky u. W. Pataky, Berlin N.W., Luisenstr. 25. Stufenziehtrommel für Drahtziehmaschinen. 30/9 94. — A 784.",1
13,"94153. Macusel, A., Dillingen a/Saar. Platinen- und Blechofen. 3/2 97. — A 859.",1
