id,entry
1,der Ränder des Laufmantels von Luftradreifen. 17/8 13. — A 1492.
2,"275 143. Schmidt, Carl, Ichenhausen, Bayern. Aus Metallplatten bestehende Gleitschutzvorrichtung an Gummireifen von Fahrzeugrädern. 2/2 13. — A 1492."
3,"275 144. Schwertführer, Max, Brüssel; Vertr.: Dr A. Levy u. Dr F. Heinemann, Pat.-Anwälte, Berlin S.W. 11. Luftradreifen mit an starren, den Luftschlauch einschließenden Seitenteilen befestigter elastischer Lauffläche. 8/11 12. — A 1492."
4,"275 237. Didier, Jules Louis, Saint-Cloud, Frankreich; Vertr.: Dipl.-Ing. Dr W. Karsten u. Dr C. Wiegand, Pat.-Anwälte, Berlin S.W. 11. Luftradreifen mit zwei nebeneinander angeordneten, durch eine Stützrippe getrennten Luftschläuchen. 12/2 13. — A 1492. Priorität aus der Anmeldung in Frankreich vom 12/2 12 anerkannt."
5,"275 771. Smith jun., Robert Thomas, Barrington, Lancaster, England; Vertr.: Dr G. Potthoff, Pat.-Anw., Frankfurta/M. Radreifenbefestigung, bei welcher der Laufreifen durch Zusammenpressen der Radscheiben festgespannt wird. 16/1 13. — A 1607. Priorität aus der Anmeldung in England vom 17/1 12 anerkannt."
6,"275 772. The Dunlop Rubber Company Ltd. u. Collin Macbeth, Birmingham, England; Vertr.: Pat.-Anwälte Dr R. Wirth, Dipl.-Ing. C. Weihe, Dr H. Weil, Frankfurt a/M. I, u. W. Dame, Berlin S.W. 68. Laufdecke für Radreifen. 31/10 13. England 18/8 13. — A 1608"
7,"275 815 (†). Wolf, Marc, Chelsea-London; Vertr.: Fr. Meffert u. Dr L. Sell, Pat.-Anwälte, Berlin S.W. 68. Luftreifenbefestigung mit einem in dem beiderseits geflanschten Radkranz liegenden Stützring. 14/8 12. — A 1607. Priorität aus der Anmeldung in Frankreich vom 13/1 12 anerkannt."
8,"275 816. Overman, Max Cyrus, New York; Vertr.: K. Hallbauer, Dipl.-Ing. A. Bohr u. Dipl.-Ing. G. Benjamin, Pat.-Anwälte, Berlin S.W. 61. Hohler Gummiradreifen, bei dem die Laufschicht mit Aussparungen versehen ist, in denen Vorsprünge angeordnet sind. 20/8 12. — A 1607."
9,"276 596. Marshall, Dale, Cheltenham, England; Vertr.: A. Gerson u. G. Sachse, Pat.-Anwälte, Berlin S.W. 61. Aus Metallgliedern bestehende Laufdecke für Gummiradreifen. 19/6 13. England 19/6 12. — A 1777."
10,"276 699. Söhlmann, Bernhard, Hannover, Kasernenstr. 2. Federnder Radreifen, bei dem die Federung durch luftgefüllte, am Umfange des Radkörpers angeordnete Hohlkörper bewirkt wird. 24/3 12. — A 1777."
