id,entry
1,str. 141. Verfahren zum Beizen mit Zinnverbindungen. 24/7 94. — A 420.
2,"80814. Erdmann, Dr E., Halle a/S., Anhalterstr. 15. Verfahren zum Färben von Haaren und Federn. (2. Zus. z. Pat. 47349.) 25/8 94. — A 420."
3,"(†) 80952. Farmer, J. S., u. J. Spenle, Salford, Engl.; Vertr.: F. Wirth u. Dr R. Wirth, Frankfurt a/M. Zuführvorrichtung für Gewebe-Spannmaschinen. 13/6 94. — A 420."
4,"81070. Wächter, H., Bielefeld. Anwendung alkalischer Zink- oder Zinnlösung als Waschmittel. 1/6 94. — A 421."
5,"81138. Wendell, F. C., Brooklyn; Vertr.: F. C. Glaser u. L. Glaser, Berlin S.W., Lindenstr. 80. Bügelmaschine mit feststehendem aus mehreren übereinanderliegenden Theilen bestehendem Bügelkörper. 14/4 94. — A 440."
6,"81150. Stärker, P., Chemnitz. Verfahren zum Formen und Pressen von Strumpfwaaren. 21/11 94. — A 479."
7,"81151. Dunker, F., Bremen, Obernstr. 18. Vorrichtung zum selbstthätigen Abschlagen des Gewebes beim Abwickeln eines Waarenballens. 23/11 94. — A 479."
8,"81220. Rucks, F. B., & Sohn, Glauchau. Plattenhalter für Oefen zum Erhitzen von Preßplatten. 13/10 94. — A 479."
9,"81280. Weidinger, C. A., Wien u. Manchester; Vertr.: C. R. Walder, Berlin S.W., Großbeerenstr. 96. Maschine zum Reinigen der in den Zeugdruck-Maschinen benutzten Druckunterlagen. 6/12 94. — A 479."
10,"81353. Schirp, H., u. A. Köhne, Barmen. Färb-, Imprägnir-, Wasch- und Spülmaschine. 22/5 94. — A 498."
11,"81361. Schäfer Söhne, Ferd., Pirmasens, Rheinpf. Meßapparat für Papier, Tuche u. s. w. mit im Innern des Meßcylinders gelegenem Druckapparat. 4/9 94. — A 498."
12,"(†) 81453. Zahncke, C. A., London u. Berlin. Vorrichtung zum Faltenlegen (Plissiren) von Geweben. 17/7 94. — A 498."
13,"81502. Cadgène, J., Zürich; Vertr.: C. Fr. Reichelt, Berlin N.W., Luisenstr. 26. Maschine zum Aufdrucken von Sahlleisten durch Applikation, Reserve oder Aetzung auf im Stück gefärbte resp. zu färbende Gewebe. 6/6 94. — A 517."
14,"81518. Lensch, C., i/F. Gebr. Donath Nachf., Chemnitz. Antriebvorrichtung für die Garnstangen von Garn-Trocken- und Dehydrationsmaschinen mit stehendem, rotirendem Trockenrahmen. 9/1 94. — A 551."
15,"81522. du Closel, F., & Blanc, Lyon; Vertr.: F. C. Glaser u. L. Glaser, Berlin S.W., Lindenstr. 80. Verfahren zum Moiriren von Geweben, Wachsleinwand, Papier u. s. w. durch Bedrucken. 20/4 94. — A 498."
16,"81565. Wiggert, R., Magdeburg. Verfahren zur Herstellung von Dachpappe. 12/7 94. — A 517."
17,"81583. Esser & Scheider, Reichenberg, Böhm.; Vertr.: H. Pataky u. W. Pataky, Berlin N.W., Luisenstr. 25. Maschine zum Legen von Geweben u. s. w. in Lagen von abnehmbarer Faltenlänge. 3/11 94. — A 517."
18,"81668. Bach, C., Colmar i/E. Rührwerk für Schlichtmaschinen. 9/11 94. — A 551."
19,"81766. Clavel, A., Basel; Vertr.: F. Wirth u. Dr R. Wirth, Frankfurt a/M. Vorrichtung zum Erleichtern des Musterns, zum Beobachten und zum Aufheben des Färbevorgangs an einzelnen Gruppen von Garnsträhnen"
20,bei Maschinen zum Färben von Garn in Strähnen. (Zus. z. Pat. 78049.) 9/2 94. — A 571.
21,"81781. Sarfert, A., Chemnitz. Elastische Walze für Wasch- und Walkmaschinen. 13/10 94. — A 420."
22,"81785. Spindler, W., Spindlersfeld b/Köpenick. Herstellung gleichmäßig abschattirter Färbungen mittels kontinuierlich verstärkter oder abgeschwächter Beizbäder. 16/11 94. — A 587."
