id,entry
1,"243580. Düring, Dr Franz, Berlin, Gitschinerstr. 6. Verfahren zur Fixierung von bügelechtem Seidenfinish. 18/1 10. — A 505."
2,"243683. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Herstellung weißer und bunter Reserven unter Küpenfarbstoffen; Zus. z. Pat. 215128. 25/10 08. — A 505."
3,"244360. Münzing, Hugo Richard, Plauen i/V. Verfahren zur Herstellung von Stickereien und Phantasiegeweben mit Lufteffekten unter Verwendung oxydierend wirkender Mischungen. 28/3 08. — A 657."
4,"245001. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Herstellung gemusterter Färbungen auf Wollplüschen und ähnlich gemischten Geweben. 3/11 10. — A 808."
5,"245218. Gesellschaft für Chemische Industrie in Basel, Basel; Vertr.: A. Loll, Pat.-Anw., Berlin S.W. 48. Verfahren zum Weiß- und Buntätzen gefärbter Böden. 15/2 10. — A 808."
6,"245308 (†). Farbwerke vorm. Meister Lucius & Brüning, Höchst a/M. Verfahren zur Herstellung von dem Chromgelb bzw. Chromorange ähnlichen, plastischen, lichtechten Gelb- bzw. Orangeätzen mittels Formaldehydhydrosulfit bzw. -sulfoxylat auf Indigofärbungen abbaubaren Küpenfarbstoffen. 9/8 10. — A 861."
7,"246252. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpenfarbstoffen mittels Formaldehydsulfoxylate bzw. Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktionsmittel; Zus. z. Pat. 231543. 17/4 10. — A 1054."
8,"246519. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpenfarbstoffen mittels Formaldehydsulfoxylate, Hydrosulfite oder anderer Reduktiosnmittel; Zus. z. Pat. 231543. 12/6 10. — A 1109."
9,"247046. Farbenfabriken vorm. Friedr. Bayer & Co., Elberfeld. Verfahren zum Drucken von Schwefelfarbstoffen auf pflanzlichen Fasern. 10/3 08 — A 1208."
10,"247099. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen- oder Schwefelfarbstoffen mittels Formaldehydsulfoxylate, Formaldehydhydrosulfite, Hydrosulfite oder anderer Reduktionsmittel; Zus. z. Pat. 231543. 23/7 10. — A 1208."
11,"247100. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen- oder Schwefelfarbstoffen mittels Formaldehydsulfoxylate bzw. Formaldehydhydrosulfite oder Hydrosulfite oder anderer Reduktionsmittel; Zus. z. Pat. 231543. 28/7 10. — A 1208."
12,"247101. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Erzeugung von weißen oder bunten Ätzeffekten auf Küpen- oder Schwefelfarbstoffen mittels Formaldehydsulfoxylate oder Hydrosulfite oder anderer Reduktionsmittel; Zus. z. Pat. 231543. 7/8 10. — A 1208."
13,"247224. Bondy, Robert, Forst i/L., Sorauerstr. 31. Herstellung mehrfarbiger Effekte auf gefärbten gemischten Geweben durch einmaligen Ätzdruck mit einer Druckwalze. 19/7 10 — A 1208."
14,"247241. Chemische Fabrik Grünau Landshoff & Meyer Akt.-Ges., Grünau b/Berlin. Verfahren zum Bedrucken von Gewebebahnen aus pflanzlichen oder tierischen Fasern. 18/7 11. — A 1208."
15,"247773. Schmid, Gebr., Basel, Schweiz; Vertr.: A. du Bois-Reymond, M. Wagner u. G. Lemcke, Pat.-Anwälte, Berlin S.W. 11. Verfahren zum Seifen von bedruckten Geweben. 12/2 11. — A 1356."
16,"248250. Farbwerke vorm. Meister Lucius & Brüning, Höchst a/M. Verfahren zur Erzeugung von gelben Tönen auf der Faser. 24/6 11. — A 1406."
17,"248946. Farbenfabriken vorm. Friedr. Bayer & Co., Elberfeld. Verfahren zur Herstellung von Fäden mit Metallglanz oder Metallfäden bzw. -streifen mit einem Überzug aus Zelluloseacetat; Zus. z. Pat. 243068. 14/5 09. — A 1555."
18,"249327. Freiberger, Moritz, Charlottenburg, Trendelenburgstr. 1. Verfahren zum Weiß- bzw. Buntätzen mit oxydierbaren Farbstoffen, insbesondere Indigo, gefärbter Ware mit Stickstoffsauerstoffverbindungen; Zus. z. Pat. 228694. 28/3 11. — A 1654."
