id,entry
1,"198255. Felten & Guilleaume-Lahmeyerwerke Act.-Ges., Frankfurt a/M. Elektromagnetische Fangbremse an Aufzügen udgl. 11/4 07. — A 1646."
2,"198323. Reich, Alwin, Berlin, Zimmerstr. 34. Einrichtung zum Steuern von elektrisch betriebenen Aufzügen odgl. 12/10 06. — A 1695."
3,"198360. Troppenz, Emil, Berlin, Gartenstr. 66. Sicherheits-Türverschluß an Aufzugschachttüren. 24/11 07. — A 1694."
4,"198487. Sabli, Robert, Basel; Vertr.: Dr W. Brückmann, Rechtsanw., Berlin S.W. 61. Vorrichtung zum Ausschalten von elektrischen Hebezeugen, Fahrzeugen udgl. 29/4 06. — A 1695."
5,"198556 (†). Burckhardt & Ziesler, Chemnitz. Selbsttätig wirkende Verschlußvorrichtung zwischen den Fahrkörben eines Paternosteraufzuges; Zus. z. Pat. 189187. 26/5 06. — A 1746."
6,"198602. Heiling, Heinrich, Daldrup b/Dülmen, Westf. Fangvorrichtung für Förderkörbe udgl. 13/6 07. — A 1747."
7,"198783. Altena, Heinrich, Oberhausen, Rhld., u. Otto Eigen, Duisburg, Prinzenstr. 34. Schalenaufhängung bei Förder- und Aufzugsanlagen mit Ober- und Unterseil. 19/12 06. — A 1789."
8,"198820. Pieron, H., & Co., Remscheid. Schubvorrichtung mit Sicherheitsseil gegen das Abstürzen von Förderkörben bei Aufzügen. 18/4 07. — A 1790."
9,"199254. Benrather Maschinenfabrik Akt.-Ges., Benrath. Steuervorrichtung für elektrisch angetriebene Hebezeuge odgl. 19/8 06. — A 1904."
10,"199266. Duisburger Maschinenbau-Akt.-Ges. vorm. Bechem & Keetman, Duisburg. Schrägaufzug mit gekrümmter Fahrbahn und über eine Leitrolle geführtem Fahrseil. 25/4 07. — A 1904."
11,"199504 (†). Greaser, Daniel Fouse, Munhall, V. St. A.; Vertr.: A. Wiele, Pat.-Anw., Nürnberg. Fangvorrichtung für Aufzüge. 26/3 07. — A 1948."
12,"199505. Basarke, Bruno, Chemnitz, Albertstr. 3. Schachtverschluß für Aufzüge. 14/7 07. — A 1948."
13,"199596. Smith, William Edward, St. Petersburg; Vertr.: Dr B. Alexander-Katz, Pat.-Anw., Berlin S.W. 13. Fördervorrichtung in senkrechter, geneigter oder wagerechter Bahn. 7/6 07. — A 1947."
14,"199629. Hastenrath, Heinr., Cöln, Drachenfelsstr. 41. Fangvorrichtung für Aufzüge und Fördereinrichtungen. 18/6 07. — A 1994."
15,"199725. Otis Elevator Company Limited, London; Vertr.: H. Neubart, Pat.-Anw., Berlin S.W. 61. Schaltvorrichtung für elektrische Aufzüge mit Druckknopfsteuerung. 6/3 06. — A 1995."
16,"199989. Reno, Jesse Wilford, New-York; Vertr.: P. Müller, Pat.-Anw., Berlin S.W. 61. Treppenaufzug mit an einander gelenkten Stufen. 25/12 06. — A 2044."
17,"200080. Rothehäuser, Georg, Werden, Ruhr. Fangvorrichtung für Förderkörbe. 30/4 07. — A 2085."
18,"200525. Allgemeine Elektricitäts-Gesellschaft, Berlin. Sicherheitsvorrichtung für elektrisch betriebene Fördermaschinen. 13/5 06. — A 2180."
19,"200606. Jäger, Wilhelm, Halle a/S., Artilleriestr. 6. Fördervorrichtung für Säcke udgl. 29/6 07. — A 2179."
20,"200607. Mc Cully, Charles, London u. William Farnsworth, Nottingham, Engl.; Vertr.: Dr W. Haußknecht u. V. Fels, Pat.-Anwälte, Berlin W. 9. Fang-"
21,vorrichtung für Förderanlagen. 19/10 07. — A 2197.
22,"200608. Flohr, Carl, Fa., Berlin. Türsperrung an Aufzugs-Schachttüren. 31/12 07. — A 2179."
23,"200848. Felten & Guilleaume-Lahmeyerwerke Act.-Ges., Frankfurt a/M. Einrichtung zur Erzielung gleicher Auslaufwege an elektrisch betriebenen Aufzügen und ähnlichen Anlagen. 16/1 06. — A 2229."
24,"201284. Schrader, Wolfgang, Berlin, Chausseestr. 35. Paternosteraufzug. 24/11 07. — A 2344."
25,"201571. Brown, Boveri & Cie Akt.-Ges., Mannheim-Käferthal. Steuervorrichtung für Aufzugselektromotoren. 9/1 07. — A 2390."
26,"201572. Benoit, Georg, Karlsruhe i/B., Hirschstr. 110. Spindelkletteraufzug. 28/5 07. — A 2440."
27,"201573. von Forster, Hans, Frankfurt a/M., Roseggerstr. 32. Paternosteraufzug. 5/11 07. — A 2390."
28,"201574. Salau & Birkholz, Essen, Ruhr. Aufschiebevorrichtung für Förderwagen an Förderschächten. 26/2 08. — A 2440."
29,"201779. The Brown Hoisting Machinery Co., Cleveland, V. St. A.; Vertr.: M. Schmetz, Pat.-Anw. Aachen. Aufzug, insbesondere für Hochöfen 20/4 07. — A 2439."
30,"201780. Haniel & Lueg, Düsseldorf-Grafenberg. Verriegelbare, durch Gewichts- oder Federdruck selbsttätig ausrückende Aufsetzvorrichtung für Förderkörbe. 2/7 07. — A 2441."
31,"201781. Flohr, Carl, Fa., Berlin. Sicherheitstürverschluß an Aufzugsschachttüren. 22/2 08. — A 2440."
32,"201911. Weismann, Carl, Cöln, Werderstr. 37. Neil-Fangvorrichtung für Aufzüge und ähnliche Fördereinrichtungen. 27/11 07. — A 2492."
33,"201962. Stähler, Heinr., Fa., Niederseuz i/L. Förderwagen mit auf dem Wagenrahmen drehbar gelagerten, den Kübel tragenden Teil für Hochofenschrägaufzüge, bei denen der Kübel nach dem Ausfahren des Wagens in seiner untersten Stellung durch weiteres Nachlassen des Förderseiles in die Lade-Grube gesenkt wird. 19/6 07. — A 2492."
34,"202187. Stahl, R., Fa., Stuttgart. Schutzwand-Anordnung für Paternoster-Aufzüge. 3/3 08. — A 2545."
35,"202281. Heitmann, Eduard, Friedenau b/Berlin, Peter Vischerstr. 8. Seilklemme zur Befestigung des Förderkorbes am Förderseil. 12/3 08. — A 2597."
36,"202651. Flohr, Carl, Fa., Berlin. Entriegelung an Aufzugs-Schachttüren. 31/3 07. — A 2659."
37,"202972. Henrard, Samuel, Lüttich; Vertr.: C. Röstel u. K. H. Horn, Pat.-Anwälte, Berlin S.W. 11. Fangvorrichtung für Förderkörbe und ähnliche Einrichtungen. 26/1 07. — A 2759."
38,"202973. Moncheur, Charles, Brüssel; Vertr.: R. Deißler, Dr G. Döllner, M. Seiler u. E. Maemecke, Pat.-Anwälte, Berlin S.W. 61. Vorrichtung zum selbsttätigen Festklemmen von Fahrstühlen bei Seilbrüchen. 16/6 07. — A 2760."
39,"202974. Böhme sen., Wilhelm, Oberkassel b/Bonn. Fangvorrichtung für Aufzugs- und Fördereinrichtungen. 13/11 07. — A 2759."
40,"202975. Flohr, Carl, Fa., Berlin. Sperrung des Schiebers an Basküle- oder ähnlichen Verschlüssen der Aufzugsschachttüren. 26/11 07. — A 2760."
41,"202976. Flohr, Carl, Fa., Berlin. Sicherheitstürverschluß an Aufzugs-Schachttüren. 22/2 08. — A 2760."
42,"202977. Salau & Birkholz, Essen, Ruhr. Reinigungsvorrichtung für Förderseile. 2/4 08. — A 2759."
