id,entry
1,trolhje wässriger Flüssigkeiten. 14/9 05. — A 2526.
2,"188139. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer wasserfreier Hydrosulfite; Zus. z. Pat. 171991. 30/7 05. — A 2526."
3,"188188. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung von reinen Nitriten aus nitrosen Gasen. 27/1 06. — A 2566."
4,"188524. Chemische Fabrik Griesheim-Elektron, Frankfurt a/M. Verfahren zur Darstellung von beständigem, festem Calciumhypochlorit. 27/4 06. — A 2628."
5,"188569. Merck, E., Fa., Darmstadt. Verfahren zur Darstellung von saurem Natriumpercarbonat. 3/2 05. — A 2526."
6,"188570. Electrochemische Werke, G. m. b. H., Bitterfeld. Verfahren zur Herstellung von Calciumhydrür. 20/5 05. — A 2526."
7,"188901. Stange, L., Aachen, Alsenstr. 44. Verfahren und Vorrichtung zur Konzentration von Schwefelsäure. 27/4 05. — A 2628."
8,"189088. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Darstellung haltbarer Hydrosulfite; Zus. z. Pat. 171362. 21/9 06. — A 2578."
9,"189224. Hartenstein, Herman Lewis, Constantine, Michigan, V. St. A.; Vertr.: E. v. Nießen, Pat.-Anw., Berlin W. 50. Verfahren zur Herstellung von Carbid. 1/5 06. — A 2743."
10,"189320. von Seemen, Erich, Paris; Vertr.: H. Neubart, Pat.-Anw., Berlin S.W. 61. Verfahren zur Herstellung von für die keramische Industrie sowie als Füllmittel für Farben udgl. geeignetem Magnesiumsilikat. 12/9 06. — A 2818."
11,"189330. Niedenführ, Olga, geb. Chotko, Halensee b/Berlin. Verfahren zur Darstellung von Schwefelsäure nach dem Kammerprinzip unter Verwendung von gegebenenfalls mit Füllkörpern oder anderen Widerständen ausgelegten rohrähnlichen Reaktionsräumen. 14/4 05. — A 2743."
12,"189472. Nordyke & Marmon Company, Indianapolis, V. St. A.; Vertr.: E. W. Hopkins u. K. Osius, Pat.-Anwälte, Berlin S.W. 11. Vorrichtung zur Erzeugung von Stickstoffsauerstoffverbindungen aus Ammoniak und Luft. 16/1 06. — A 2818."
13,"189822. Jaubert, Dr George François, Paris; Vertr.: O. Stedentopf, Pat.-Anw., Berlin S.W. 68. Verfahren zur Herstellung von reinem Kaliumsuperoxyd oder eines an Kaliumsuperoxyd reichen Gemisches. 4/8 06. — A 2941."
14,"189833. Potter, Henry Noel, New-York; Vertr.: F. C. Glaser, L. Glaser, O. Hering u. E. Peiß, Pat.-Anwälte, Berlin S.W. 68. Verfahren zur Herstellung von Siliciummonoxyd durch unvollständige Reduktion von Siliciumdioxyd. 26/7 05. — A 2941."
15,"189834. Niedenführ, Olga, geb. Chotko, Halensee b/Berlin, Kurfürstendamm 139. Runde Schwefelsäurekammer. 9/1 07. — A 2941."
16,"189863 (†). Diefenbach, Otto, Darmstadt. Verfahren zum Konzentrieren von Schwefelsäure über 60° Bé hinaus. 19/5 04. — A 2941."
17,"189864. Helbig, Dr Demetrio, Rom; Vertr.: E. Gronert u. W. Zimmermann, Pat.-Anwälte, Berlin S.W. 61. Verfahren zur Darstellung von Stickstoffsauerstoffverbindungen aus atmosphärischer Luft oder anderen Stickstoff und Sauerstoff enthaltenden Gasgemischen mittels des elektrischen Lichtbogens. 13/9 04. — A 3005."
18,"189865. Badische Anilin- & Soda-Fabrik, Ludwigshafen a/Rh. Verfahren zur Konzentration von Salpetersäure mittels wasserbindender Salze. 19/12 05. — A 2743."
