id,entry
1,"99282. Jamain, P. C. M., Dijon; Vertr.: Dr W. Häberlein, Berlin N.W., Karlstr. 7. Maschine zum Pressen von Pastillen. 17/8 97. — A 713."
2,"99283. Kugel, Dr L., Wien; Vertr.: A. du Bois-Reymond u. M. Wagner, Berlin N.W., Schiffbauerdamm 29a. Hörrohr. 23/11 97. — A 730."
3,"99307. Katz, H., Berlin C., Landsbergerstr. 71. Cuvettenhalter. 28/8 97. — A 748."
4,"99308. Büdingen, Dr Th., Mainz, Rheinstr. 71. Einrichtung für Heißluft-, Dampf- und Wasserbäder. 19/9 97. — A 748."
5,"99363. la Société Générale des Berseurs hermétiques „L'Egide“, Paris; Vertr.: O. Lenz, Berlin N.W., Luisenstr. 31b. Druckluft = Vorrichtung für Spritzen u. dgl. 23/9 97. — A 764."
6,"99383. Neumeister, Dr R., Leipzig u. Dr M. Matthes, Jena. Verfahren zur Herstellung eines diagnostisch verwerthbaren Eiweißpräparates. 1/2 98. — A 781."
7,"99427. Cournand, J., Paris; Vertr.: M. Mintz, Berlin W., Unter den Linden 11. Vorrichtung zum Reinigen der Zähne. 12/9 97. — A 764."
8,"99428. Hegedüs, St., u. A. Krug, Szentes, Ung.; Vertr.: G. Dedreux, München. Bett mit Walzen zum Heben und Auswechseln des Bett-Tuches. 18/9 97. — A 764."
9,"99617. Farbenfabriken vorm. Friedr. Bayer & Co., Elberfeld. Verfahren zur Darstellung einer gegen Säuren beständigen und in Alkalien schwer löslichen Tanninalbuminat-Verbindung. 13/10 97. — A 835."
10,"99765. Helmers, Dr O., Hamburg, Bohnenstr. 2. Verfahren zur Herstellung fast geruchloser Präparate aus den durch Einwirkenlassen von Schwefelsäure auf Mineralöle und ähnliche Kohlenwasserstoffe gewonnenen, sulfidartig gebundenen, Schwefel enthaltenden Substanzen. 15/12 97. — A 835."
11,"99798. Völkl, G., Ingolstadt. Verband zum Strecken und Einrichten gebrochener oder verrenkter Beine oder Füße seitens des Arztes ohne fremde Beihilfe. 11/11 97. — A 931."
12,"99799. Rumpf & Rethwisch, Stuttgart, Heusteigerstr. 108. Saugpfropfen mit Luftzuführungs-Vorrichtung. 10/12 97. — A 911."
13,"99800. Grünewald, F., Berlin W., Grunewaldstr. 1. Selbstfeuchtende Kopfwaschbürste. 22/1 98. — A 931."
14,"100083. Ostermann, L., Berlin W., Friedrichstr. 171. Leibbinde. 21/10 97. — A 931."
15,"100084. Gardiner, C. H., Brooklyn; Vertr.: C. Fehlert u. G. Loubier, Berlin N.W., Dorotheenstr. 32. Verbandschiene. 23/11 97. — A 912."
16,"100085. The French Hygienic Society Limited, London; Vertr.: H. C. Schmidt, Berlin S.W., Friedrichstr. 234. Zerstäuber mit Vorrichtung zum Regeln der zu zerstäubenden Flüssigkeitsmenge. 5/2 98."
17,"100241. Chemische Fabrik auf Aktien (vorm. E. Schering), Berlin N. Apparat zur Desinfektion mit Formaldehyd; Zus. z. Pat. 96671. 13/6 97. — A 912."
18,"100249. Krämer, W., Charlottenburg, Pestalozzistr. 31. Formtisch = Schaltwerk von Stempelpressen zur Herstellung von Pastillen u. dgl. 12/6 97."
19,"100256. Bolland, P., Berlin C., Prinzenstr. 87. Elektrische Bohr- und Fräsmaschine für zahnärztliche Zwecke. 19/11 97."
20,"100376. Fütterer, H., Düsseldorf, Städt. Tonhalle. Haartrocken-Vorrichtung mit elektrischer Heizung. 19/2 97."
21,"100377. Wittkowski, J., Berlin N., Friedrichstr. 125. Zahnklammer mit Gestell zum Ueberspannen einer Gummihaut (Kofferdam). 25/12 97. — A 912."
22,"100378. Adam, H., Breitenstein b/Stolberg, Harz. Saugflasche. 23/2 98."
23,"100424. Bruns, W., Brandenburg a/H. Verfahren zur Herstellung einer für Zahnfleisch-Nachahmung geeigneten Kautschukmasse. 3/4 98. — A 932."
24,"100467. Paschen, R., Dessau. Verbandschiene für Knochenbrüche, Verrenkungen und andere Verletzungen. 30/3 97."
25,"100603. Gerson, Dr R., Berlin S.W., Friedrichstr. 9. Elastische Pflasterbinde, hauptsächlich als Ersatz des Suspensoriums. 11/11 97."
26,"100604. Tresenreiter, M., München, Neuhauserstr. 40. Befestigung künstlicher Zahnkronen an natürlichen Wurzeln. 23/11 97."
27,"100605. Timar, J., Berlin C., Gr. Hamburgerstr. 20. Athmungsvorrichtung, besonders zur ärztlichen Behandlung der Athmungsorgane. 8/4 98."
28,"100617. Lahr, C., Würzburg, Rößburgstr. 5. Verfahren zur Herstellung einer dichten, haltbaren Trennungswand in Glasröhren. 18/3 98."
29,"100707. Knoll & Co., Ludwigshafen a/Rh. Verfahren zur Darstellung einer fast geruch- und geschmacklosen Ichthyoleiweißverbindung. 4/4 97."
30,"100850. Kröning, Frau H., Magdeburg, Olvenstedterstr. 28a. Vorrichtung zum Aufspreizen natürlicher Körperkanäle, hauptsächlich zwecks Einführung von Arzneimitteln. 31/12 97."
31,"100851. Averbeck, F., Bonn-Poppelsdorf, Friedrichstr. 24. In einem durchbohrten Flaschenpfropfen verschiebbarer Tropfstöpsel. 1/1 98."
32,"100852. Schmidt, F. A., Barmen, Alleestr. 116. Zerlegbares Heft für Werkzeuge, besonders zu chirurgischen Zwecken. 8/3 98."
33,"100853. Nesselbosch, R., Vaihingen a/Enz, Württ. Instrument zum Untersuchen von Kehlkopf und Rachen. 20/3 98."
34,"100854. Schille, J., Wien; Vertr.: Dr W. Häberlein, Berlin N.W., Karlstr. 7. Federnder, sich durch Druck der Hand einem Körpertheil dicht anschließender Trichter für ärztliche Zwecke. 26/3 98."
35,"100888. Ferguson, R. G., Lakewood, Ocean Cty, N.-J., u. A. M. Elkus, New-York; Vertr.: F. C. Glaser u. L. Glaser, Berlin S.W., Lindenstr. 80. Apparat zum Mischen von Flüssigkeiten mit Gasen, im Besondern zur Herstellung von Brausebädern. 19/10 97."
36,"100909. Ferracciu, R., Rom; Vertr.: R. Deißler, J. Maemede u. Fr. Deißler, Berlin N.W., Luisenstr. 31a. Suspensorium. 2/11 97. Der Patentinhaber nimmt für dieses Patent die Rechte aus § 3 des Uebereinkommens mit Italien vom 18/1 92 auf Grund einer Anmeldung in Italien vom 2/7 97 in Anspruch."
37,"101021. Kaeding, A., Halberstadt. Einrichtung zum Auswechseln des Bett-Tuches von Krankenbetten. 18/8 97."
38,"101022. Bogren, A., Malmö, Schweden; Vertr.: J. Tuneld u. H. Hallencreutz, Berlin N.W., Lessingstr. 48. Vorrichtung, um Zahnhöhlen mit erwärmtem Wasser auszuspülen und mit erwärmter Luft auszutrocknen. 3/3 98."
39,"101185. Giese, Gebr., & Co., Offenbach a/M. Fahrbare Tragbahre. 21/8 97."
40,"101186 haacke, F., geb. Bornschein, Apolda, Goldgasse 4. Halter beim Schleifen künstlicher Zähne. 1/12 97."
41,"101187. Hentschel, C., Kattowitz, Mühlstr. 17/19. Zerstäuber für Flüssigkeiten. 11/2 98."
42,"101188. Herrmann, Dr, Alt-Rüstrinchen, R/M. Aufblasbares kugelförmiges Pessar. 27/3 98."
