id,entry,complete_patent,patent_id,name,location,description,date
1,"OTTO, TH. Kuppelungsvorrichtung zum Anhängen der Wagen auf Seilbahnen an das Zugseil nebst Verbesserung an dieser Vorrichtung. 12. September 1877. P. R. 919.",1,919,"OTTO, TH.",NaN,Kuppelungsvorrichtung zum Anhängen der Wagen auf Seilbahnen an das Zugseil nebst Verbesserung an dieser Vorrichtung.,12. September 1877.
2,"NEUERBURG, M. Vorrichtung zur Anklemmung von Fördergefäfsen an das Zugseil bei Seilbahnen. 15. November 1877. P. R. 1312.",1,1312,"NEUERBURG, M.",NaN,Vorrichtung zur Anklemmung von Fördergefäfsen an das Zugseil bei Seilbahnen.,15. November 1877.
3,"VON FELBINGER, F., Ritter, und CRESPIN, A. Depeschen-Aufgaberesp. Empfangsapparat an pneumatischen Telegraphen. 2. Oktober 1877. P. R. 1506.",1,1506,"VON FELBINGER, F., Ritter, und CRESPIN, A.",NaN,Depeschen-Aufgaberesp. Empfangsapparat an pneumatischen Telegraphen.,2. Oktober 1877.
4,"NEUERBURG, M. & SCHULTEN, F. Kontinuirlich wirkende Drahtseilbahn. 23. Dezember 1877. P. R. 1655.",1,1655,"NEUERBURG, M. & SCHULTEN, F.",NaN,Kontinuirlich wirkende Drahtseilbahn.,23. Dezember 1877.
5,"REULAND, M. Kokslösch- und Verladungsapparat. 1. Dezember 1877. P. R. 2328.",1,2328,"REULAND, M.",NaN,Kokslösch- und Verladungsapparat.,1. Dezember 1877.
6,"VON BERND, L. Neuerungen an Rollmaschinen für Lagerfässer. 26. März 1878. P. R. 2433.",1,2433,"VON BERND, L.",NaN,Neuerungen an Rollmaschinen für Lagerfässer.,26. März 1878.
7,"BLEICHERT, A. Verbessertes System von Drahtbahnen. 23. September 1877. P. R. 2934.",1,2934,"BLEICHERT, A.",NaN,Verbessertes System von Drahtbahnen.,23. September 1877.
8,"DIPPE, F. Rübentransporteur. 6. April 1878. P. R. 3481.",1,3481,"DIPPE, F.",NaN,Rübentransporteur.,6. April 1878.
9,"WESTERLUND, A. F. Hängebahn zu Transportzwecken. 18. April 1878. P. R. 3688.",1,3688,"WESTERLUND, A. F.",NaN,Hängebahn zu Transportzwecken.,18. April 1878.
10,"BLEICHERT, A. Verbesserungen an Drahtseilbahnen. Zusatzpatent zu P. R. 2934. 8. Dezember 1877. P. R. 3761.",1,3761,"BLEICHERT, A.",NaN,Verbesserungen an Drahtseilbahnen.,8. Dezember 1877.
11,"GERMANIA, Maschinenfabrik, vorm. J. S. SCHWALBE und SOHN. Mechanische Malzdarre. 3. Juli 1877. P. R. 17.",1,17,"GERMANIA, Maschinenfabrik, vorm. J. S. SCHWALBE und SOHN.",NaN,Mechanische Malzdarre.,3. Juli 1877.
12,"CRESPEL, G. Trockenapparat. 8. Juli 1877. P. R. 76.",1,76,"CRESPEL, G.",NaN,Trockenapparat.,8. Juli 1877.
13,"LINKE, R. Trockenapparat für Braunkohle. 1. Aug. 1877. P. R. 88.",1,88,"LINKE, R.",NaN,Trockenapparat für Braunkohle.,1. Aug. 1877.
14,HÜNERKOPF & SOHN. Mechanische Malzdarre mit eigenthümlicher Hordenbildung und kombinirter Hub- und Wendevorrichtung. 11. September 1877. P. R. 406.,1,406,HÜNERKOPF & SOHN.,NaN,Mechanische Malzdarre mit eigenthümlicher Hordenbildung und kombinirter Hub- und Wendevorrichtung.,11. September 1877.
15,"KLEINAU, B. Cichorien- und Runkelrübendarre. 17. August 1877. P. R. 603.",1,603,KLEINAU,NaN,Cichorien- und Runkelrübendarre.,17. August 1877.
16,"GRIESEMANN, H. V. Darre mit kreuzweis übereinander liegenden Blättern. 25. September 1877. P. R. 629.",1,629,"GRIESEMANN, H. V.",NaN,Darre mit kreuzweis übereinander liegenden Blättern.,25. September 1877.
17,"HERSEY, CH. H. Trocken- und Kühlapparat. 27. September 1877. P. R. 631.",1,631,"HERSEY, CH. H.",NaN,Trocken- und Kühlapparat.,27. September 1877.
18,"SCHIMMEL, O. Wäschetrockenmaschine. 4. Juli 1877. P. R. 928.",1,928,"SCHIMMEL, O.",NaN,Wäschetrockenmaschine.,4. Juli 1877.
19,"HAUBOLD JR., C. G. Anordnung von Cylinder-Trockenmaschinen. 4. Dezember 1877. P. R. 1337.",1,1337,"HAUBOLD JR., C. G.",NaN,Anordnung von Cylinder-Trockenmaschinen.,4. Dezember 1877.
20,"HAUBOLD JR., C. G. Beständig wirkende Schleuder. 18. November 1877. P. R. 1417.",1,1417,"HAUBOLD JR., C. G.",NaN,Beständig wirkende Schleuder.,18. November 1877.
21,"HAHN, E. Mechanische Malzdarre. 24. November 1877. P. R. 1418.",1,1418,"HAHN, E.",NaN,Mechanische Malzdarre.,24. November 1877.
22,"NOKE, H. E. Trocken- und Darrapparat mit rotirenden Trommeln. 22. Juli 1877. P. R. 1432.",1,1432,"NOKE, H. E.",NaN,Trocken- und Darrapparat mit rotirenden Trommeln.,22. Juli 1877.
23,"ULRICH, Gebrüder. Stetig wirkende und selbstwendende Malzdarre. 29. November 1877. P. R. 1443.",1,1443,"ULRICH, Gebrüder.",NaN,Stetig wirkende und selbstwendende Malzdarre.,29. November 1877.
24,"KUNZE, W. Universal-Papptrockenapparat. 7. November 1877. P. R. 1509.",1,1509,"KUNZE, W.",NaN,Universal-Papptrockenapparat.,7. November 1877.
25,"BEHNISCH, C. H. Trockenmaschine für Pappen. 4. Januar 1878. P. R. 1519.",1,1519,"BEHNISCH, C. H.",NaN,Trockenmaschine für Pappen.,4. Januar 1878.
