id,entry,patent_id,name,location,description,date
1,"(†) 14614. — BRÖKELMANN, JAEGER & CO. in Neheim. Neuerungen an den unter P. R. 6591 patentirten Federn zum Andrücken des Dochtes an die Triebräder bei Brennern. 19. Mai 1880. — A 665.",14614,"BRÖKELMANN, JAEGER & CO.",Neheim,Neuerungen an den unter P. R. 6591 patentirten Federn zum Andrücken des Dochtes an die Triebräder bei Brennern,19. Mai 1880
2,"14689. — KHOTINSKY, A. M., Marine-Lieutenant in St. Petersburg; Vertreter: F. E. THODE & KNOOP in Dresden, Augustusstraße 3. Beleuchtungs-methode mit Sauerstoffgas und zugehörige Appa-rate. 6. Januar 1881. — A 733.",14689,"KHOTINSKY, A. M.",St. Petersburg,Beleuchtungs-methode mit Sauerstoffgas und zugehörige Appa-rate,6. Januar 1881
3,"14709. — RAPHAEL, M., in Breslau. Insekten-schützer aus Glimmer für Lampen. 9. Januar 1881. — A 771.",14709,"RAPHAEL, M.",Breslau,Insekten-schützer aus Glimmer für Lampen,9. Januar 1881
4,"14796. — GASSEN, B., in Coblenz a. Rh., Schlofs-strafse 22. Sicherheits - Hängelampe. 30. No-vember 1880. — A 715.",14796,"GASSEN, B.","Coblenz a. Rh., Schlofs-strafse 22",Sicherheits - Hängelampe,30. No-vember 1880
5,"(†) 14888. — HECHT & KOEPPE in Leipzig, Rofsplatz 6. Kerzenhalter mit Winkelhebeln. 16. Oktober 1880. — A 715.",14888,HECHT & KOEPPE,"Leipzig, Rofsplatz 6",Kerzenhalter mit Winkelhebeln,16. Oktober 1880
6,"14912. — HALLER, G., in Ottensen. Dochtführung für Flachbrenner mittelst in mehreren Reihen über einander gelegener Triebrädchen. 10. Fe-bruar 1881. — A 715.",14912,"HALLER, G.",Ottensen,Dochtführung für Flachbrenner mittelst in mehreren Reihen über einander gelegener Triebrädchen,10. Fe-bruar 1881
7,"14913. — BÄHR, H., in Dresden. Vorrichtung zur Erzeugung verschiedenfarbigen Lichtes für Theater-fufsrampen. 3. Februar 1881. — A 733.",14913,"BÄHR, H.",Dresden,Vorrichtung zur Erzeugung verschiedenfarbigen Lichtes für Theater-fufsrampen,3. Februar 1881
8,"14914. — KUNATH, E., in Danzig. Windsicheres Laternendach mit Reflektor. 23. Februar 1881. — A 2182.",14914,"KUNATH, E.",Danzig,Windsicheres Laternendach mit Reflektor,23. Februar 1881
9,"14920. — ZORN, H., in Berlin SW., Neuenburger-strafse 16. Neuerungen an Lampen. 1. Ok-tober 1880. — A 715.",14920,"ZORN, H.","Berlin SW., Neuenburger-strafse 16",Neuerungen an Lampen,1. Ok-tober 1880
10,"14932. — GEBLER, H., in Pirna. Kombinirte Schraub-vorrichtung und Führungseinrichtung zum Auf-und Niederbewegen des Zugcylinders. 30. Sep-tember 1880. — A 771.",14932,"GEBLER, H.",Pirna,Kombinirte Schraub-vorrichtung und Führungseinrichtung zum Auf-und Niederbewegen des Zugcylinders,30. Sep-tember 1880
