id,entry,patent_id,name,location,description,date
1,"131862. Wallace, Roger William, London; Vertr.: C. Glaser u. L. Glaser, Pat.-Anwälte, Berlin S.W. 68. Selbsttätiger Fernsprechumschalter. 14/11 95. — A 1208.",131862,"Wallace, Roger William",London,Selbsttätiger Fernsprechumschalter,14/11 95
2,"131896 (†). Dudek, Willy, u. Wilhelm Barthe, Breslau, Hummerei 25 bzw. Christopheripl. 7. Selbstkassierende Fernsprechstelle, bei welcher das Anrufen nur nach Einwurf einer bestimmten Münze möglich ist. 29/6 01. — A 1208.",131896,"Dudek, Willy, u. Wilhelm Barthe","Breslau, Hummerei 25 bzw. Christopheripl. 7","Selbstkassierende Fernsprechstelle, bei welcher das Anrufen nur nach Einwurf einer bestimmten Münze möglich ist",29/6 01
3,"132108. Allgemeine Elektricitäts-Gesellschaft, Berlin. Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen. 26/4 01. — A 1140.",132108,Allgemeine Elektricitäts-Gesellschaft,Berlin,Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen,26/4 01
4,"132109. Allgemeine Elektricitäts-Gesellschaft, Berlin. Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen; Zus. z. Pat. 132108. 12/7 00. — A 1140.",132109,Allgemeine Elektricitäts-Gesellschaft,Berlin,Schaltungsweise des Mikrophonempfängers bei abgestimmten funkentelegraphischen Stationen,12/7 00
5,"132206. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Relais zum Empfang von Wechselstromsignalen auf elektrischen Apparate, die in einem Ortsstromkreise liegen. 5/12 00. — A 1140.",132206,"Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke",Berlin,"Relais zum Empfang von Wechselstromsignalen auf elektrischen Apparate, die in einem Ortsstromkreise liegen",5/12 00
6,"132329. Van Wagenen, Anthony, Sioux-City, V. St. A.; Vertr.: P. Müller, Pat.-Anw., Berlin S.W. 46. Schaltgesperre, insbesondere für selbsttätige Fernsprechumschalter. 20/8 01. — A 1208.",132329,"Van Wagenen, Anthony","Sioux-City, V. St. A.","Schaltgesperre, insbesondere für selbsttätige Fernsprechumschalter",20/8 01
7,"132354. Siemens & Halske Akt.-Ges., Berlin. Schaltungsanordnung für Fernsprechanlagen mit parallel abgezweigten Teilnehmerklinken; Zus. z. Pat. 131123. 3/4 01. — A 1209.",132354,Siemens & Halske Akt.-Ges.,Berlin,Schaltungsanordnung für Fernsprechanlagen mit parallel abgezweigten Teilnehmerklinken,3/4 01
8,"132355. Siemens & Halske Akt.-Ges., Berlin. Fernsprechstelle mit lauttönenden, seitlich am Gehäuse drehbar angeordneten Fernhörern. 10/9 01. — A 1209.",132355,Siemens & Halske Akt.-Ges.,Berlin,"Fernsprechstelle mit lauttönenden, seitlich am Gehäuse drehbar angeordneten Fernhörern",10/9 01
9,"132436 (†). Telephon- und Telegraphen-Werke Hugo Becker, Berlin. Schaltung für gemeinschaftliche Fernsprechleitungen. 27/4 00. — A 1209.",132436,Telephon- und Telegraphen-Werke Hugo Becker,Berlin,Schaltung für gemeinschaftliche Fernsprechleitungen,27/4 00
10,"132438. Thomson, Arthur Thomas Milnor, London; Vertr.: G. Fehlert, G. Harmsen, Pat.-Anwälte, Berlin S.W. 46. Selbsttätiger Anrufer für Fernsprechanlagen. 11/01. — A 1209.",132438,"Thomson, Arthur Thomas Milnor",London,Selbsttätiger Anrufer für Fernsprechanlagen,11/01
11,"132672. Ries, Elias Elkan, New-York; Vertr.: Dr W. Pataky u. W. Pataky, Berlin N.W. 6. Fernhörer mit selbsttätiger Umschaltung. 12/12 99. — A 1277.",132672,"Ries, Elias Elkan",New-York,Fernhörer mit selbsttätiger Umschaltung,12/12 99
12,"132673. Siemens & Halske Akt.-Ges., Berlin. Schaltungsanordnung für Fernsprechanlagen. 14/2 01. — A 1244.",132673,Siemens & Halske Akt.-Ges.,Berlin,Schaltungsanordnung für Fernsprechanlagen,14/2 01
13,"132674. Siemens & Halske Akt.-Ges., Berlin. Fernsprechanlage mit selbsttätiger Herstellung der Verbindungen. 24/2 01. — A 1245.",132674,Siemens & Halske Akt.-Ges.,Berlin,Fernsprechanlage mit selbsttätiger Herstellung der Verbindungen,24/2 01
14,"132712. de Chimkévitch, Pierre, Paris; Vertr.: Dr Alexander-Katz, Pat.-Anw., Görlitz. Vorrichtung für telegraphische Zwecke zum Erzeugen einer regelbaren Anzahl von Stromstößen. 24/10 00. — A 1277.",132712,"de Chimkévitch, Pierre",Paris,Vorrichtung für telegraphische Zwecke zum Erzeugen einer regelbaren Anzahl von Stromstößen,24/10 00
15,"132871. Gray National Telautograph Company, New-York; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Pat.-Anwälte, Berlin N.W. 40. Vorrichtung zur Versorgung der Empfänger von Schreibtelegraphen mit Tinte. 15/8 01. — A 1277.",132871,Gray National Telautograph Company,New-York,Vorrichtung zur Versorgung der Empfänger von Schreibtelegraphen mit Tinte,15/8 01
16,"132923. Staffsing, Frans Birger, Stockholm, u. Carl Egnér, Sundbyberg, Schwed.; Vertr.: Dr R. Schulz, W. 66, u. F. Schwentker, Berlin. Vorrichtung zum Sichern von Fernsprechapparaten gegen unbefugte Benutzung. 26/2 01. — A 1277.",132923,"Staffsing, Frans Birger, u. Carl Egnér","Stockholm, u. Sundbyberg, Schwed.",Vorrichtung zum Sichern von Fernsprechapparaten gegen unbefugte Benutzung,26/2 01
17,"133010. Deutsche Telephonwerke R. Stock & Co., G. m. b. H., Berlin. Schaltung für Fernsprech-Vermittlungsämter mit Vorschalttafeln. 29/1 01. — A 1326.",133010,"Deutsche Telephonwerke R. Stock & Co., G. m. b. H.",Berlin,Schaltung für Fernsprech-Vermittlungsämter mit Vorschalttafeln,29/1 01
18,"133385 (†). The International Typal Telegraph Co., Detroit, V. St. A.; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1. Empfänger für Drucktelegraphen. 10/5 99. — A 1358.",133385,The International Typal Telegraph Co.,"Detroit, V. St. A.",Empfänger für Drucktelegraphen,10/5 99
19,"133386. Deckert, Wilhelm, Wien; Vertr.: C. Pieper, H. Springmann u. Th. Stort, Pat.-Anwälte, Berlin N.W. 40. Schalldeckel für Mikrophone. 29/10 01. — A 1359.",133386,"Deckert, Wilhelm",Wien,Schalldeckel für Mikrophone,29/10 01
20,"133387. Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles, Charlottenburg. Schaltung für Fernsprechsysteme mit gemeinsamer Mikrophonspeisung. 15/1 01. — A 1327.",133387,"Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles",Charlottenburg,Schaltung für Fernsprechsysteme mit gemeinsamer Mikrophonspeisung,15/1 01
21,"133531. Faller, Ernst August, u. James White Chisholm, San Francisco; Vertr.: H. Neubart, Pat.-Anw., u. F. Kollm, Berlin N.W. 6. Einrichtung zur gleichzeitigen ungestörten Sprechverbindung zwischen mehreren Sprechstellen, die auf derselben Leitung liegen. 24/7 00. — A 1359.",133531,"Faller, Ernst August, u. James White Chisholm",San Francisco,"Einrichtung zur gleichzeitigen ungestörten Sprechverbindung zwischen mehreren Sprechstellen, die auf derselben Leitung liegen",24/7 00
22,"133532 (†). Ammer, Victor, Wien; Vertr.: R. Deißler, Pat.-Anw., F. Maemecke u. Fr. Deißler, Berlin N.W. 6. Schaltung für Fernsprechanlagen. 24/1 99. — A 1457.",133532,"Ammer, Victor",Wien,Schaltung für Fernsprechanlagen,24/1 99
23,"133635. Nißl, Franz, Wien; Vertr.: C. Fehlert, G. Loubier u. Fr. Harmsen, Berlin N.W. 7. Vorrichtung zum Anrufen einer beliebigen, von mehreren an dieselbe Leitung angeschlossenen Fernsprechstellen vom Amte aus mittels Wechselstroms. 23/4 01. — A 1388.",133635,"Nißl, Franz",Wien,"Vorrichtung zum Anrufen einer beliebigen, von mehreren an dieselbe Leitung angeschlossenen Fernsprechstellen vom Amte aus mittels Wechselstroms",23/4 01
24,"133636. Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles, Charlottenburg. Gesprächszählerschaltung für Fernsprechstellen; Zus. z. Pat. 124253. 16/1 02. — A 1359.",133636,"Telephon-Apparat-Fabrik Petsch, Zwietusch & Co., vorm. Fr. Welles",Charlottenburg,Gesprächszählerschaltung für Fernsprechstellen,16/1 02
25,"133680. The Rowland Telegraphic Company, Baltimore; Vertr.: C. Hoffmann, Pat.-Anw., Berlin S.W. 68. Einrichtung, welche es ermöglicht, bei mit einem Linienstrom betriebenen Telegraphen einen, mit dem Linienstrom nach Frequenz oder Frequenz und Richtung übereinstimmenden Orts-Wechselstrom aus einer Gleichstromquelle abzuleiten; Zus. z. Pat. 128390. 15/8 01. — A 1359.",133680,The Rowland Telegraphic Company,Baltimore,"Einrichtung, welche es ermöglicht, bei mit einem Linienstrom betriebenen Telegraphen einen, mit dem Linienstrom nach Frequenz oder Frequenz und Richtung übereinstimmenden Orts-Wechselstrom aus einer Gleichstromquelle abzuleiten",15/8 01
26,"133681. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Gesprächszählerschaltung für Fernsprechämter, bei welchen die Zählung durch den Gebrauch der Abfragestöpsel und einer Taste im Amte bewirkt wird. 18/6 01. — A 1388.",133681,"Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke",Berlin,"Gesprächszählerschaltung für Fernsprechämter, bei welchen die Zählung durch den Gebrauch der Abfragestöpsel und einer Taste im Amte bewirkt wird",18/6 01
27,"133682. Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke, Berlin. Stöpselschnur. 18/8 01. — A 1360.",133682,"Akt.-Ges. Mix & Genest, Telephon- u. Telegraphenwerke",Berlin,Stöpselschnur,18/8 01
28,"133718. Slaby, Dr Adolf, Charlottenburg, Sophienstr. 4, u. Georg Graf von Arco, Berlin, Cuxhavenerstr. 2. Eine durch Kondensator geschlossene, an Erde liegende Sendeschleife für Funkentelegraphie. 4/11 99. — A 1419.",133718,"Slaby, Dr Adolf, u. Georg Graf von Arco","Charlottenburg, Sophienstr. 4, u. Berlin, Cuxhavenerstr. 2","Eine durch Kondensator geschlossene, an Erde liegende Sendeschleife für Funkentelegraphie",4/11 99
29,"133815. Stroud, Harold Dudley, Chicago; Vertr.: Dr R. Wirth, Pat.-Anw., Frankfurt a/M. 1 u. W. Dame, Pat.-Anw., Berlin N.W. 6. Gesprächszähler für Fernsprechstellen, bei welchem das Zählwerk durch den anrufenden Teilnehmer bei Übermittelung eines Signales nach dem Vermittelungsamte fortgeschaltet wird. 30/10 00. — A 1647.",133815,"Stroud, Harold Dudley",Chicago,"Gesprächszähler für Fernsprechstellen, bei welchem das Zählwerk durch den anrufenden Teilnehmer bei Übermittelung eines Signales nach dem Vermittelungsamte fortgeschaltet wird",30/10 00
