id,entry,patent_id,name,location,description,date
1,"(†) 14614. — BRÖKELMANN, JAEGER & CO. in Neheim. Neuerungen an den unter P. R. 6591 patentirten Federn zum Andrücken des Dochtes an die Triebbräder bei Brennern. 19. Mai 1880. — A 665.",14614,"BRÖKELMANN, JAEGER & CO.",Neheim,Neuerungen an den unter P. R. 6591 patentirten Federn zum Andrücken des Dochtes an die Triebbräder bei Brennern,19. Mai 1880
2,"14689. — KHOTINSKY, A. M., MARINE-LIEUTENANT in St. Petersburg; Vertreter: F. E. THODE & KNOOP in Dresden, Augustusſtraſse 3. Beleuchtungsmethode mit Sauerstoffgas und zugehörige Apparate. 6. Januar 1881. — A 733.",14689,"KHOTINSKY, A. M.",St. Petersburg,Beleuchtungsmethode mit Sauerstoffgas und zugehörige Apparate,6. Januar 1881
3,"14709. — RAPHAEL, M., in Breslau. Insektenschützer aus Glimmer für Lampen. 9. Januar 1881. — A 771.",14709,"RAPHAEL, M.",Breslau,Insektenschützer aus Glimmer für Lampen,9. Januar 1881
4,"14796. — GASSEN, B., in Coblenz a. Rh., Schloſsſtraſse 22. Sicherheits-Hängelampe. 30. November 1880. — A 715.",14796,"GASSEN, B.","Coblenz a. Rh., Schloſsſtraſse 22",Sicherheits-Hängelampe,30. November 1880
5,"(†) 14888. — HECHT & KOEPPE in Leipzig, Roſsplatz 6. Kerzenhalter mit Winkelhebeln. 16. Oktober 1880. — A 715.",14888,HECHT & KOEPPE,"Leipzig, Roſsplatz 6",Kerzenhalter mit Winkelhebeln,16. Oktober 1880
6,"14912. — HALLER, G., in Ottensen. Dochtführung für Flachbrenner mittelst in mehreren Reihen über einander gelegter Triebrädchen. 10. Februar 1881. — A 715.",14912,"HALLER, G.",Ottensen,Dochtführung für Flachbrenner mittelst in mehreren Reihen über einander gelegter Triebrädchen,10. Februar 1881
7,"14913. — BÄHR, H., in Dresden. Vorrichtung zur Erzeugung verschiedenfarbigen Lichtes für Theaterfufsrampen. 3. Februar 1881. — A 733.",14913,"BÄHR, H.",Dresden,Vorrichtung zur Erzeugung verschiedenfarbigen Lichtes für Theaterfufsrampen,3. Februar 1881
8,"14914. — KUNATH, E., in Danzig. Windsicheres Laternendach mit Reflektor. 23. Februar 1881. — A 21 82.",14914,"KUNATH, E.",Danzig,Windsicheres Laternendach mit Reflektor,23. Februar 1881
9,"14920. — ZORN, H., in Berlin SW., Neuenburgerſtraſse 16. Neuerungen an Lampen. 1. Oktober 1880. — A 715.",14920,"ZORN, H.","Berlin SW., Neuenburgerſtraſse 16",Neuerungen an Lampen,1. Oktober 1880
10,"14932. — GEBLER, H., in Pirna. Kombinirte Schraubvorrichtung und Führungseinrichtung zum Auf- und Niederbewegen des Zugcylinders. 30. September 1880. — A 771.",14932,"GEBLER, H.",Pirna,Kombinirte Schraubvorrichtung und Führungseinrichtung zum Auf- und Niederbewegen des Zugcylinders,30. September 1880
