id,entry,patent_id,name,location,description,date
1,"75650. Legrand, F. P., & Cie, Paris; Vertr.: A. Mühle u. W. Ziolecki, Berlin W., Friedrichstr. 78. Maſchine zum Waſchen von Geweben in ausgebreitetem Zuſtande. 28/11 93. — A 607.",75650,"Legrand, F. P., & Cie",Paris,Maſchine zum Waſchen von Geweben in ausgebreitetem Zuſtande,28/11 93
2,"75651. Haubold jr., C. G., Chemnitz. Dekatircylinder. 3/12 93. — A 607.",75651,"Haubold jr., C. G.",Chemnitz,Dekatircylinder,3/12 93
3,"75653. Wolff, F., Groß-Gerau b/Darmſtadt. Staubfreier und wärmeiſolirender Bodenbelag. 21/12 93. — A 607.",75653,"Wolff, F.",Groß-Gerau b/Darmſtadt,Staubfreier und wärmeiſolirender Bodenbelag,21/12 93
4,"75748. Eger, F., Deſſau, Zerbſterſtr. 45. Meßapparat für Gewebe u. dgl. zwecks Ermittelung der Waarenlänge ohne Abwickeln von den Wickelbrettern. 24/10 93. — A 626.",75748,"Eger, F.","Deſſau, Zerbſterſtr. 45",Meßapparat für Gewebe u. dgl. zwecks Ermittelung der Waarenlänge ohne Abwickeln von den Wickelbrettern,24/10 93
5,"75896. Neuhaus Nachf., H. F., Krefeld. Verfahren zum Beſchweren von Seide und Schappe. 25/1 93. — A 655.",75896,"Neuhaus Nachf., H. F.",Krefeld,Verfahren zum Beſchweren von Seide und Schappe,25/1 93
6,"75992. Caſſella, Leopold, & Co., Frankfurt a/M. Erzeugung von Polyazofarbſtoffen unter Anwendung der Amidonaphtolſulfofäure H. 17/3 91. — A 829.",75992,"Caſſella, Leopold, & Co.",Frankfurt a/M,Erzeugung von Polyazofarbſtoffen unter Anwendung der Amidonaphtolſulfofäure H,17/3 91
7,"75993. Salm, H., u. H. Hilpert, Kottbus. Garnfärbemaſchine mit Vorrichtung zur Verhütung des Verwirrens der Garnſträhne. 10/12 91. — A 699.",75993,"Salm, H., u. H. Hilpert",Kottbus,Garnfärbemaſchine mit Vorrichtung zur Verhütung des Verwirrens der Garnſträhne,10/12 91
8,"76028. Böttcher, W., Northeim. Verfahren zur Herſtellung von holzmarqueterieähnlichen Gegenſtänden. 28/11 93. — A 655.",76028,"Böttcher, W.",Northeim,Verfahren zur Herſtellung von holzmarqueterieähnlichen Gegenſtänden,28/11 93
9,"76057. Barmann, C., Berlin S.O., Wrangelſtr. 138. Querbürſtmaſchine zum Bleich- und Reinigen von Geweben mit unterhalb der Gewebe laufenden Bürſten. 31/12 93. — A 700.",76057,"Barmann, C.","Berlin S.O., Wrangelſtr. 138",Querbürſtmaſchine zum Bleich- und Reinigen von Geweben mit unterhalb der Gewebe laufenden Bürſten,31/12 93
10,"76058. Haubold jr., C. G., Chemnitz. Stoßkalander mit durch Elektricität bewegten Stampfen. 20/1 94. — A 655.",76058,"Haubold jr., C. G.",Chemnitz,Stoßkalander mit durch Elektricität bewegten Stampfen,20/1 94
11,"76170. Matter & Cie, Rouen, Frankreich; Vertr.: F. Wirth u. Dr. R. Wirth, Frankfurt a/M. Rauhmaſchine mit auf einer oder auf beiden Seiten des zu rauhenden Stoffes in einer Ebene liegenden Rauhwalzen. 16/2 93. — A 759.",76170,Matter & Cie,"Rouen, Frankreich",Rauhmaſchine mit auf einer oder auf beiden Seiten des zu rauhenden Stoffes in einer Ebene liegenden Rauhwalzen,16/2 93
