id,entry,patent_id,name,location,description,date
1,"30419. — MANHÈS, P., in Lyon, Frankreich; Vertreter: R. LÜDERS in Görlitz. Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe. 22. Juli 1884.",30419,"MANHÈS, P.","Lyon, Frankreich",Verfahren zur Behandlung gold- und silberhaltiger Mineralien und anderer Stoffe,22. Juli 1884
2,"26286. — MARTHAUS, A., in Oschatz. Neuerungen an Filz-, Walk- und ähnlichen Maschinen. (II. Zusatz zu P. R. 12799.) 12. April 1883. — A 247.",26286,"MARTHAUS, A.",Oschatz,"Neuerungen an Filz-, Walk- und ähnlichen Maschinen",12. April 1883
3,"26384. — VERO, CH., und J. EVERITT in London; Vertreter: J. MOELLER in Würzburg, Domstrasse 34. Neuerungen in der Erzeugung plattirter Filzkörper für Hüte. 26. August 1883. — A 219.",26384,"VERO, CH., und J. EVERITT",London,Neuerungen in der Erzeugung plattirter Filzkörper für Hüte,26. August 1883
4,"(†) 26688. — BACKHOFF & CO., H., in Dresden-Altstadt. Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen. 27. April 1883. — A 320.",26688,"BACKHOFF & CO., H.",Dresden-Altstadt,"Verfahren und Einrichtung, um auf der LINON-Presse LINON-Façons und Filzhüte mittelst Dampfheizung herzustellen",27. April 1883
5,27833. — GRAHL & HÖHL in Dresden. Maschine zum Façoniren von Hüten mittelst Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes. 20. Dezember 1883. — A 553.,27833,GRAHL & HÖHL,Dresden,Maschine zum Façoniren von Hüten mittelst Hutkrämpen und zum Pressen von Hüten mittelst hydraulischen Druckes,20. Dezember 1883
6,"29423. — BRACHER, G. ST., in New-York, V. St. A.; Vertreter: C. KESSELER in Berlin SW., Königgrätzerstrasse 47. Neuerung in der Behandlung von Stuhlrohr und der Verwendung desselben zum Einfassen von Hutschweifsleder und für andere Zwecke. 16. April 1884. — A 742.",29423,"BRACHER, G. ST.","New-York, V. St. A.",Neuerung in der Behandlung von Stuhlrohr und der Verwendung desselben zum Einfassen von Hutschweifsleder und für andere Zwecke,16. April 1884
7,"30474. — CHEETHAM, F. W., in Hyde, Grafschaft Chester, England; Vertreter: WIRTH & CO. in Frankfurt a. M. Einfassung des Schweifsleders an Hüten. 22. Juli 1884. — Vgl. Kl. 51. P. R. 29945.",30474,"CHEETHAM, F. W.","Hyde, Grafschaft Chester, England",Einfassung des Schweifsleders an Hüten,22. Juli 1884
8,"26107. — GIESING, C. J., Oberlehrer an der Kgl. Realschule in Döbeln. Rechenapparat. 31. Juli 1883. — A 266.",26107,"GIESING, C. J.",Döbeln,Rechenapparat,31. Juli 1883
9,"26163. — STEVENS, J., in Neenah, Wisconsin, V. St. A.; Vertreter: J. BRANDT in Berlin W., Königgrätzerstrasse 131. Neuerungen an selbstthätigen Wägevorrichtungen. 23. Mai 1883. — A 279.",26163,"STEVENS, J.","Neenah, Wisconsin, V. St. A.",Neuerungen an selbstthätigen Wägevorrichtungen,23. Mai 1883
10,"26184. — SHAVER, G. F., in Erie, Pennsylvanien, V. St. A.; Vertreter: BRYDGES & CO. in Berlin SW., Königgrätzerstr. 107. Wechselsystem für akustische Telephone. 1. März 1883. — A 248.",26184,"SHAVER, G. F.","Erie, Pennsylvanien, V. St. A.",Wechselsystem für akustische Telephone,1. März 1883
